Unique Number,Frequency,Array of Dates
@2346789,4,"['2010/12/27', '2016/3/26', '2017/11/7', '2018/12/27']"
@0145679,3,"['2009/4/27', '2015/4/28', '2017/8/5']"
@45689,2,"['2015/1/31', '2015/7/9']"
@23489,1,['2012/9/11']
@034678,2,"['2010/8/3', '2019/2/14']"
@123579,2,"['2012/1/17', '2019/4/30']"
@0123459,1,['2016/11/17']
@1235689,10,"['2012/10/20', '2013/6/15', '2016/4/16', '2017/3/16', '2018/8/30', '2019/1/17', '2020/1/14', '2020/6/20', '2022/6/6', '2022/8/9']"
@2345789,6,"['2010/7/6', '2013/3/14', '2016/8/13', '2020/8/27', '2020/9/17', '2021/2/23']"
@012567,3,"['2009/3/28', '2013/2/23', '2018/6/5']"
@02356789,6,"['2011/4/12', '2014/7/22', '2016/3/12', '2019/7/25', '2020/1/18', '2021/4/1']"
@03456789,2,"['2012/3/24', '2020/5/9']"
@1234578,23,"['2009/2/5', '2010/7/24', '2010/10/12', '2010/11/27', '2012/1/14', '2012/2/16', '2012/3/31', '2012/6/9', '2013/4/2', '2013/9/7', '2014/7/5', '2015/6/4', '2015/8/11', '2016/10/31', '2017/2/9', '2017/4/24', '2017/7/18', '2017/8/29', '2019/8/29', '2020/8/22', '2021/8/5', '2022/1/11', '2022/5/10']"
@01234578,26,"['2009/8/17', '2009/9/22', '2011/3/19', '2011/5/26', '2011/7/16', '2011/9/17', '2011/12/29', '2012/4/12', '2012/8/28', '2013/9/5', '2013/10/10', '2014/3/8', '2014/12/6', '2015/1/17', '2018/2/15', '2018/4/7', '2018/7/26', '2018/9/4', '2019/12/10', '2019/12/19', '2020/7/14', '2020/8/25', '2020/11/17', '2021/5/3', '2022/5/26', '2022/7/9']"
@134589,2,"['2013/7/11', '2016/9/22']"
@0124567,7,"['2009/9/29', '2012/1/5', '2012/3/29', '2012/8/30', '2017/6/6', '2018/4/30', '2019/11/28']"
@014579,2,"['2009/10/20', '2010/4/20']"
@01346789,9,"['2009/5/7', '2010/12/14', '2012/11/17', '2015/1/5', '2015/11/3', '2016/6/9', '2018/5/17', '2019/4/18', '2020/7/18']"
@045679,1,['2014/1/2']
@012568,3,"['2015/6/9', '2015/9/22', '2019/4/11']"
@123459,7,"['2010/5/4', '2010/12/30', '2011/6/11', '2012/4/10', '2016/4/9', '2018/6/30', '2022/9/6']"
@013478,4,"['2014/1/16', '2014/6/5', '2021/8/19', '2022/3/3']"
@023589,1,['2010/6/26']
@0145689,2,"['2012/3/10', '2021/4/27']"
@0135679,4,"['2010/12/2', '2014/9/20', '2019/10/19', '2021/4/3']"
@124679,1,['2015/10/1']
@34567,3,"['2009/5/26', '2013/12/14', '2021/8/28']"
@256789,1,['2009/6/27']
@2356789,10,"['2010/5/29', '2011/8/16', '2011/12/17', '2013/4/20', '2015/2/24', '2015/4/27', '2017/3/21', '2018/7/21', '2018/9/8', '2021/3/2']"
@14567,2,"['2012/11/5', '2018/8/2']"
@01248,1,['2009/9/19']
@125689,3,"['2011/10/22', '2012/4/26', '2014/12/23']"
@0134689,2,"['2010/9/2', '2016/4/19']"
@0123789,1,['2013/12/19']
@01245789,6,"['2009/8/22', '2010/11/25', '2014/1/30', '2016/1/16', '2016/10/1', '2022/7/28']"
@0123468,5,"['2013/3/9', '2013/5/18', '2016/4/28', '2018/2/24', '2022/6/21']"
@2568,1,['2015/10/31']
@145678,7,"['2012/10/18', '2016/1/14', '2016/5/24', '2016/10/22', '2020/1/9', '2021/8/3', '2021/12/11']"
@12568,2,"['2013/1/29', '2015/6/20']"
@023469,1,['2017/2/21']
@01345689,11,"['2009/4/11', '2010/7/20', '2011/12/9', '2012/10/11', '2015/6/13', '2016/2/2', '2016/9/1', '2017/9/26', '2018/10/23', '2021/1/26', '2021/3/11']"
@01235689,12,"['2009/8/13', '2009/11/17', '2009/12/1', '2011/5/12', '2011/7/14', '2013/4/16', '2013/8/22', '2015/12/10', '2016/1/28', '2016/5/21', '2017/9/14', '2018/11/27']"
@023456789,13,"['2010/9/23', '2010/12/18', '2011/11/5', '2012/1/12', '2012/11/13', '2013/12/28', '2015/3/5', '2015/4/11', '2017/5/2', '2018/10/30', '2018/11/3', '2019/11/5', '2021/7/20']"
@134569,4,"['2013/11/16', '2016/9/10', '2017/10/12', '2018/10/13']"
@45678,2,"['2010/4/24', '2018/6/4']"
@14578,2,"['2016/6/25', '2018/5/8']"
@0134579,6,"['2009/12/3', '2012/6/14', '2018/2/17', '2018/4/3', '2018/12/6', '2022/11/3']"
@0135789,2,"['2010/8/19', '2016/4/23']"
@12345,1,['2014/3/15']
@125679,6,"['2009/4/21', '2012/12/20', '2014/1/28', '2019/11/23', '2021/9/25', '2022/4/16']"
@1345678,25,"['2009/7/25', '2009/9/8', '2010/6/1', '2011/10/6', '2011/12/24', '2012/1/3', '2012/5/17', '2013/5/4', '2013/7/25', '2013/8/3', '2013/9/12', '2013/12/23', '2014/6/14', '2015/2/21', '2015/2/26', '2015/7/23', '2015/12/17', '2017/5/27', '2017/7/6', '2018/2/6', '2019/1/15', '2020/3/14', '2021/1/9', '2021/7/17', '2022/7/26']"
@0234678,5,"['2010/6/3', '2012/2/11', '2014/3/25', '2019/5/21', '2021/4/17']"
@1245789,8,"['2010/3/18', '2011/1/7', '2014/3/20', '2015/1/22', '2016/5/3', '2017/4/29', '2017/6/22', '2019/6/6']"
@045678,2,"['2016/12/10', '2021/11/20']"
@013457,1,['2010/7/22']
@345689,3,"['2014/3/18', '2018/2/27', '2019/10/15']"
@013578,3,"['2010/8/10', '2018/2/13', '2021/1/2']"
@0345679,6,"['2010/4/17', '2012/9/29', '2016/6/6', '2020/7/16', '2021/2/11', '2022/1/3']"
@05679,1,['2009/6/4']
@01236789,6,"['2009/3/12', '2013/3/19', '2017/2/23', '2020/9/24', '2021/1/5', '2021/9/7']"
@12346789,20,"['2009/5/14', '2009/6/16', '2009/9/17', '2011/4/16', '2011/10/20', '2012/12/10', '2014/11/8', '2016/8/16', '2018/3/3', '2018/7/5', '2018/8/28', '2018/12/24', '2020/5/21', '2020/6/11', '2020/10/15', '2021/3/6', '2022/4/19', '2022/4/21', '2022/7/16', '2022/10/15']"
@013489,1,['2021/9/28']
@023569,2,"['2011/12/31', '2017/4/15']"
@036789,2,"['2015/3/12', '2020/8/11']"
@02568,1,['2011/3/15']
@134567,5,"['2010/10/16', '2019/11/12', '2020/6/18', '2021/12/18', '2022/11/8']"
@1234589,11,"['2009/9/1', '2010/5/3', '2012/5/29', '2012/12/4', '2014/4/26', '2016/1/23', '2017/6/8', '2018/1/4', '2021/9/23', '2022/9/1', '2022/10/22']"
@345678,12,"['2009/7/16', '2009/10/27', '2012/4/7', '2014/12/24', '2015/12/3', '2017/1/24', '2017/5/20', '2017/9/19', '2017/11/4', '2020/1/2', '2021/9/9', '2022/2/17']"
@1234689,8,"['2009/1/2', '2010/6/5', '2014/6/19', '2014/8/12', '2016/12/24', '2017/7/11', '2018/5/29', '2021/5/27']"
@23568,2,"['2009/6/25', '2017/9/16']"
@0134789,4,"['2010/7/1', '2013/2/5', '2021/2/9', '2021/12/28']"
@012459,2,"['2011/6/7', '2011/12/6']"
@02345689,8,"['2011/4/28', '2014/10/2', '2016/6/28', '2016/7/2', '2017/12/12', '2018/1/18', '2020/2/6', '2022/6/25']"
@023579,1,['2016/5/5']
@1237,1,['2009/8/1']
@13568,1,['2015/4/2']
@234589,5,"['2009/5/23', '2009/10/10', '2014/7/8', '2016/2/20', '2020/12/28']"
@0234589,5,"['2010/7/13', '2011/3/22', '2012/12/22', '2015/7/11', '2015/10/8']"
@1345679,12,"['2009/2/3', '2013/7/4', '2013/7/23', '2013/11/19', '2015/8/22', '2016/1/2', '2017/1/31', '2017/11/30', '2018/7/7', '2021/8/10', '2022/3/31', '2022/10/18']"
@235679,7,"['2009/4/9', '2009/12/24', '2010/1/12', '2011/11/24', '2015/5/16', '2015/8/6', '2020/11/26']"
@0134678,5,"['2012/6/26', '2015/8/20', '2016/9/6', '2019/7/27', '2020/9/26']"
@4568,1,['2010/3/27']
@123478,3,"['2011/4/9', '2014/6/24', '2015/4/23']"
@012369,1,['2015/3/17']
@034589,1,['2019/5/28']
@134578,6,"['2009/3/7', '2012/2/9', '2012/5/26', '2013/5/14', '2017/10/7', '2020/3/7']"
@12356789,18,"['2009/2/7', '2010/12/11', '2011/11/26', '2012/7/10', '2013/9/21', '2013/9/28', '2014/12/2', '2016/7/28', '2016/11/3', '2018/6/26', '2018/6/28', '2019/9/3', '2019/11/16', '2021/1/16', '2021/1/23', '2022/2/24', '2022/6/28', '2022/7/14']"
@0123579,4,"['2009/2/26', '2012/10/25', '2014/2/13', '2022/1/22']"
@0123568,9,"['2011/2/26', '2012/9/18', '2013/1/22', '2014/4/17', '2015/7/4', '2015/10/22', '2015/11/28', '2020/5/12', '2022/3/8']"
@124579,1,['2013/8/8']
@12467,1,['2013/12/21']
@3456789,9,"['2009/4/7', '2010/7/27', '2012/8/16', '2020/5/5', '2020/7/4', '2020/10/6', '2021/2/13', '2021/12/14', '2022/9/29']"
@0678,1,['2016/3/5']
@034689,1,['2010/3/30']
@124578,8,"['2009/8/4', '2011/3/10', '2013/8/1', '2015/9/29', '2018/4/28', '2019/3/26', '2022/8/18', '2022/8/23']"
@0145678,9,"['2011/9/13', '2013/7/30', '2014/8/23', '2015/9/8', '2015/10/29', '2016/6/4', '2017/10/24', '2018/5/19', '2020/12/15']"
@014567,7,"['2009/3/14', '2009/12/12', '2014/3/4', '2014/5/31', '2015/8/17', '2017/3/30', '2017/11/14']"
@023678,1,['2020/1/7']
@15679,1,['2014/3/6']
@035789,1,['2011/1/15']
@0234579,4,"['2009/3/3', '2013/11/26', '2017/7/25', '2018/2/8']"
@0356789,1,['2019/5/14']
@12345789,12,"['2010/2/11', '2011/7/7', '2011/11/10', '2014/8/28', '2015/1/20', '2015/11/12', '2016/11/19', '2017/5/11', '2018/8/11', '2019/7/20', '2019/7/23', '2019/12/12']"
@1236789,6,"['2010/2/20', '2011/2/12', '2012/4/21', '2020/5/28', '2020/9/8', '2022/1/29']"
@02456,1,['2012/12/1']
@12345679,20,"['2009/8/29', '2010/5/13', '2010/12/7', '2011/8/2', '2011/11/29', '2012/11/29', '2013/11/14', '2014/10/23', '2014/11/11', '2016/5/19', '2017/4/4', '2017/12/2', '2018/1/16', '2018/3/15', '2018/9/13', '2019/8/13', '2020/10/10', '2020/10/27', '2020/12/17', '2021/7/31']"
@123789,5,"['2014/3/22', '2017/1/5', '2017/3/7', '2017/10/28', '2018/5/3']"
@024569,2,"['2010/3/23', '2020/6/23']"
@1346789,9,"['2011/10/4', '2014/8/16', '2015/6/25', '2015/9/26', '2015/10/24', '2019/3/16', '2019/8/17', '2020/9/3', '2020/11/19']"
@3567,1,['2017/12/16']
@2456,1,['2014/4/10']
@014578,2,"['2013/2/7', '2013/10/17']"
@234578,7,"['2011/1/20', '2011/2/19', '2014/5/29', '2018/4/12', '2019/1/8', '2021/7/15', '2022/4/30']"
@056789,1,['2010/3/25']
@01234589,2,"['2011/11/19', '2013/11/30']"
@34678,4,"['2013/6/6', '2017/3/11', '2017/8/14', '2019/12/17']"
@012678,2,"['2019/9/12', '2022/10/6']"
@012349,2,"['2013/9/17', '2021/4/24']"
@0136789,4,"['2010/8/14', '2015/1/13', '2018/12/18', '2019/11/2']"
@135679,2,"['2012/7/19', '2019/5/30']"
@0234578,4,"['2011/3/31', '2011/5/19', '2013/9/14', '2020/1/4']"
@13458,3,"['2011/10/1', '2020/6/25', '2021/6/19']"
@12346,1,['2015/10/3']
@012458,2,"['2010/2/9', '2015/8/27']"
@23468,2,"['2010/9/9', '2015/12/24']"
@0245678,6,"['2010/11/23', '2012/6/28', '2012/7/12', '2018/1/20', '2019/7/4', '2021/7/3']"
@1238,1,['2017/10/21']
@01468,1,['2021/12/27']
@0123457,3,"['2011/5/3', '2014/7/15', '2020/2/25']"
@234689,2,"['2014/4/15', '2016/9/13']"
@0134679,4,"['2016/10/13', '2017/4/22', '2019/3/2', '2020/8/20']"
@0235689,4,"['2018/10/11', '2019/12/21', '2020/2/20', '2021/5/11']"
@34568,1,['2010/2/16']
@156789,3,"['2017/4/11', '2019/4/20', '2020/6/30']"
@0156789,3,"['2011/1/18', '2013/9/3', '2019/3/9']"
@13459,1,['2012/8/18']
@012345789,9,"['2009/6/11', '2015/10/10', '2016/12/20', '2017/1/19', '2017/12/18', '2019/8/20', '2020/7/28', '2021/2/4', '2022/2/1']"
@14589,1,['2010/12/21']
@012345,4,"['2011/5/5', '2016/3/1', '2016/6/30', '2018/6/12']"
@45679,1,['2020/8/13']
@25678,1,['2021/2/18']
@24568,2,"['2012/6/23', '2020/2/1']"
@1245678,16,"['2009/8/8', '2010/7/3', '2011/3/3', '2012/4/24', '2013/12/7', '2014/2/8', '2016/2/9', '2016/3/19', '2016/4/2', '2017/1/14', '2017/3/4', '2018/9/20', '2019/5/4', '2020/2/11', '2020/8/1', '2021/2/2']"
@1234568,24,"['2009/2/12', '2009/7/18', '2010/10/21', '2011/11/15', '2013/2/9', '2013/4/4', '2014/10/11', '2015/12/9', '2016/5/26', '2016/6/14', '2016/7/9', '2017/2/4', '2018/1/8', '2018/6/9', '2019/3/19', '2019/6/11', '2019/7/11', '2019/12/28', '2020/2/8', '2021/11/4', '2022/3/17', '2022/4/5', '2022/5/31', '2022/7/2']"
@345789,1,['2015/8/4']
@012367,1,['2014/9/2']
@01345789,8,"['2010/6/22', '2010/10/19', '2011/8/25', '2011/8/27', '2015/2/5', '2016/4/26', '2017/3/9', '2021/12/9']"
@124678,12,"['2013/10/1', '2014/4/8', '2014/4/22', '2015/10/6', '2017/7/13', '2017/11/28', '2019/4/27', '2019/7/30', '2021/4/22', '2021/4/29', '2022/2/12', '2022/6/18']"
@123689,1,['2017/2/11']
@124689,2,"['2015/1/7', '2018/1/2']"
@016789,3,"['2012/7/28', '2015/3/10', '2021/9/4']"
@01234579,2,"['2011/3/1', '2020/6/6']"
@1478,1,['2012/11/3']
@024678,2,"['2017/4/8', '2022/4/26']"
@23578,3,"['2011/3/8', '2018/10/6', '2018/12/10']"
@0256789,3,"['2009/7/9', '2012/6/19', '2012/12/18']"
@2345689,10,"['2013/1/17', '2013/4/29', '2014/1/25', '2015/2/19', '2016/9/3', '2017/8/26', '2017/9/9', '2018/8/4', '2021/3/16', '2022/8/13']"
@012689,1,['2014/7/26']
@0234568,5,"['2009/4/14', '2012/9/4', '2017/7/8', '2021/1/14', '2022/1/10']"
@014679,1,['2022/2/15']
@45789,1,['2014/9/25']
@0123589,2,"['2013/11/9', '2018/10/27']"
@0134569,2,"['2009/2/21', '2009/8/6']"
@13678,3,"['2012/8/25', '2015/5/5', '2015/11/10']"
@04678,2,"['2017/4/1', '2020/9/10']"
@123568,13,"['2009/5/19', '2009/12/17', '2010/1/21', '2010/1/26', '2011/12/20', '2013/1/19', '2015/7/30', '2017/7/22', '2018/8/7', '2019/3/5', '2020/8/8', '2021/3/18', '2021/11/6']"
@234678,8,"['2013/3/7', '2013/8/27', '2015/6/3', '2016/5/7', '2017/6/15', '2017/7/15', '2019/3/14', '2021/6/10']"
@0234789,5,"['2010/5/15', '2012/3/8', '2014/6/10', '2021/6/17', '2022/10/27']"
@0234679,1,['2009/10/6']
@02379,1,['2018/3/22']
@012345689,8,"['2010/1/9', '2010/12/9', '2011/9/15', '2017/10/31', '2018/2/1', '2019/9/10', '2021/1/28', '2021/5/13']"
@01234567,14,"['2009/1/27', '2012/10/30', '2014/8/19', '2015/5/9', '2015/6/6', '2016/1/9', '2016/8/4', '2017/1/12', '2017/11/21', '2018/11/13', '2019/1/3', '2019/4/13', '2020/6/4', '2021/8/26']"
@1345689,10,"['2009/9/5', '2012/12/29', '2013/2/2', '2014/3/11', '2014/7/1', '2016/7/12', '2017/2/14', '2020/11/3', '2021/1/7', '2022/10/11']"
@0123469,1,['2011/10/25']
@3469,1,['2022/1/18']
@013479,1,['2016/10/29']
@0124579,5,"['2009/12/31', '2011/12/1', '2013/3/30', '2018/11/8', '2019/9/14']"
@0145789,5,"['2009/11/7', '2012/12/6', '2013/8/29', '2015/5/12', '2021/5/18']"
@134679,2,"['2010/7/29', '2012/3/3']"
@02345789,11,"['2009/7/21', '2010/10/26', '2013/1/8', '2013/2/19', '2014/11/3', '2014/11/13', '2015/2/10', '2016/1/12', '2016/4/12', '2019/10/8', '2021/3/13']"
@15789,1,['2022/1/4']
@135789,2,"['2015/12/1', '2018/2/10']"
@2345679,7,"['2010/5/27', '2011/6/28', '2013/1/31', '2013/7/13', '2016/11/29', '2018/12/15', '2022/9/15']"
@2345678,25,"['2009/11/28', '2010/11/20', '2011/2/5', '2011/2/22', '2011/8/23', '2011/9/22', '2012/8/21', '2013/5/21', '2013/5/25', '2013/9/26', '2013/11/21', '2015/2/12', '2016/7/16', '2017/4/27', '2017/6/20', '2018/4/10', '2018/9/6', '2020/1/30', '2020/10/17', '2020/11/21', '2021/1/19', '2021/1/30', '2021/12/4', '2022/2/26', '2022/8/11']"
@12358,1,['2011/5/21']
@0134589,4,"['2010/3/2', '2016/6/21', '2022/8/27', '2022/9/20']"
@123479,2,"['2009/5/5', '2015/5/23']"
@123456,7,"['2010/5/6', '2011/1/25', '2011/4/7', '2014/9/16', '2016/6/18', '2016/9/24', '2020/8/29']"
@023478,1,['2021/11/27']
@23479,3,"['2009/5/12', '2009/6/3', '2018/7/24']"
@0123456,7,"['2010/7/8', '2011/9/6', '2013/8/6', '2013/10/19', '2016/4/21', '2021/6/15', '2022/1/25']"
@12345678,50,"['2009/1/17', '2009/11/3', '2009/12/22', '2010/1/28', '2010/4/10', '2010/6/12', '2010/9/25', '2011/1/29', '2011/3/29', '2011/5/10', '2011/9/24', '2011/11/8', '2011/12/10', '2012/3/22', '2012/8/4', '2012/11/15', '2013/3/28', '2013/6/20', '2014/2/11', '2014/7/24', '2014/8/21', '2015/3/31', '2015/5/7', '2015/6/27', '2015/11/26', '2016/1/30', '2016/2/25', '2016/4/30', '2016/6/23', '2016/7/26', '2016/8/6', '2016/8/9', '2016/8/27', '2016/10/8', '2016/11/5', '2017/4/20', '2017/10/26', '2018/1/25', '2018/4/24', '2018/6/21', '2018/8/14', '2018/11/22', '2019/5/9', '2019/6/25', '2020/9/5', '2020/9/12', '2021/4/20', '2021/11/30', '2022/2/8', '2022/3/24']"
@246789,2,"['2014/10/16', '2015/7/16']"
@23457,2,"['2010/11/13', '2020/5/7']"
@012346,2,"['2014/10/28', '2018/11/15']"
@0245689,4,"['2010/3/9', '2010/6/17', '2010/11/11', '2014/11/6']"
@01256789,7,"['2011/5/31', '2013/11/2', '2013/12/10', '2015/12/29', '2015/12/31', '2017/12/21', '2019/1/29']"
@2456789,9,"['2009/4/30', '2010/4/22', '2013/3/23', '2014/9/23', '2019/1/5', '2020/2/18', '2021/6/12', '2021/9/21', '2022/8/2']"
@234579,4,"['2009/10/29', '2010/9/18', '2015/11/17', '2017/12/14']"
@0146789,6,"['2010/2/25', '2013/4/11', '2013/11/5', '2016/5/17', '2017/3/18', '2017/5/18']"
@1345789,9,"['2009/6/9', '2009/12/19', '2010/5/20', '2010/9/16', '2010/10/14', '2013/8/19', '2017/12/23', '2021/12/23', '2022/8/16']"
@0234567,10,"['2009/12/5', '2011/12/15', '2012/8/23', '2014/10/18', '2015/12/19', '2018/7/17', '2020/1/21', '2020/5/30', '2020/6/13', '2022/9/3']"
@01346,1,['2021/7/22']
@25789,1,['2013/7/16']
@01357,1,['2011/4/5']
@0123489,1,['2022/5/19']
@014789,2,"['2009/2/10', '2010/3/13']"
@01234789,8,"['2010/1/23', '2012/6/30', '2013/1/26', '2013/7/27', '2015/1/10', '2018/10/20', '2019/9/26', '2021/10/30']"
@035689,1,['2022/3/5']
@345679,1,['2015/5/2']
@123467,9,"['2010/1/7', '2011/10/27', '2012/4/19', '2012/9/25', '2017/8/8', '2020/10/22', '2021/2/25', '2021/5/29', '2021/11/23']"
@024567,4,"['2010/9/30', '2010/10/30', '2012/8/7', '2014/5/15']"
@012378,1,['2014/5/24']
@023468,4,"['2010/2/2', '2015/6/23', '2019/8/24', '2019/12/31']"
@1256789,4,"['2011/11/3', '2012/5/31', '2014/7/17', '2016/3/10']"
@01467,1,['2016/9/29']
@0234689,1,['2015/3/14']
@034568,4,"['2011/10/15', '2015/12/15', '2016/10/25', '2017/3/25']"
@02346789,7,"['2009/9/26', '2012/4/17', '2012/6/12', '2016/2/13', '2019/4/4', '2019/9/7', '2022/3/22']"
@012358,2,"['2010/6/19', '2021/10/23']"
@12347,1,['2009/1/8']
@1234569,7,"['2012/3/1', '2012/9/6', '2013/3/5', '2013/5/23', '2015/6/30', '2020/3/3', '2022/9/24']"
@245689,1,['2017/8/17']
@01456789,9,"['2011/5/28', '2014/1/7', '2014/5/20', '2017/1/17', '2017/2/25', '2017/6/13', '2018/2/22', '2018/7/28', '2019/9/24']"
