Unique Number,Frequency,Array of Dates
@01245678,13,"['2009/1/3', '2009/1/22', '2010/9/28', '2011/9/8', '2014/2/25', '2015/3/28', '2015/12/12', '2017/7/27', '2018/4/19', '2018/6/19', '2019/8/10', '2020/5/14', '2020/12/10']"
@13456789,16,"['2009/10/31', '2010/2/18', '2011/1/13', '2012/4/3', '2013/1/5', '2013/2/21', '2014/9/4', '2015/11/14', '2018/9/11', '2019/6/4', '2019/10/1', '2020/2/13', '2020/6/16', '2020/9/22', '2022/1/15', '2022/2/19']"
@0234569,6,"['2010/4/13', '2015/9/19', '2016/7/5', '2019/2/9', '2020/12/19', '2022/7/23']"
@346789,2,"['2009/11/12', '2015/4/16']"
@123589,7,"['2014/2/4', '2014/11/4', '2014/12/27', '2020/3/21', '2021/12/7', '2022/2/10', '2022/6/11']"
@0134567,7,"['2010/2/27', '2012/11/10', '2013/8/10', '2019/9/21', '2021/8/31', '2021/11/9', '2021/11/13']"
@01358,1,['2014/7/10']
@023578,3,"['2012/7/14', '2015/3/19', '2019/8/1']"
@02358,1,['2022/4/14']
@2467,1,['2010/1/14']
@23456789,22,"['2009/10/22', '2010/6/8', '2011/9/20', '2011/11/12', '2012/6/21', '2014/5/22', '2014/6/3', '2014/7/29', '2014/8/2', '2014/9/30', '2014/10/30', '2016/4/7', '2016/11/24', '2017/3/2', '2017/3/23', '2017/12/19', '2019/9/28', '2021/8/14', '2021/11/11', '2022/1/8', '2022/3/29', '2022/5/17']"
@01234679,5,"['2009/7/28', '2011/12/27', '2014/12/13', '2015/10/15', '2022/6/7']"
@123468,7,"['2009/1/24', '2010/1/16', '2012/1/31', '2012/11/24', '2021/7/27', '2021/10/19', '2022/8/25']"
@14568,1,['2018/12/22']
@236789,1,['2019/1/10']
@013456,1,['2009/1/7']
@01246789,2,"['2015/3/26', '2020/12/31']"
@124568,11,"['2009/9/3', '2011/10/8', '2013/4/9', '2013/8/20', '2016/7/30', '2017/11/9', '2017/12/7', '2018/3/10', '2018/11/6', '2020/5/19', '2021/11/25']"
@1234579,6,"['2009/1/20', '2013/8/24', '2016/3/22', '2017/1/3', '2018/4/17', '2021/6/1']"
@0345678,5,"['2011/7/26', '2021/5/4', '2021/5/8', '2022/1/27', '2022/6/14']"
@023467,3,"['2013/2/14', '2015/5/19', '2019/8/6']"
@123456789,27,"['2009/4/16', '2009/6/13', '2009/7/14', '2009/10/1', '2009/11/10', '2010/4/29', '2011/4/26', '2011/4/30', '2012/2/18', '2012/3/6', '2012/3/20', '2012/6/5', '2012/10/2', '2012/12/13', '2013/3/26', '2013/7/18', '2013/10/29', '2014/2/18', '2014/9/11', '2016/3/15', '2018/3/13', '2018/4/21', '2020/7/2', '2020/7/7', '2021/6/26', '2022/3/10', '2022/10/29']"
@012456,3,"['2010/7/15', '2015/7/25', '2017/11/25']"
@24678,2,"['2013/2/28', '2016/8/23']"
@035678,3,"['2009/11/21', '2017/1/21', '2019/9/19']"
@026789,2,"['2021/4/10', '2021/10/9']"
@456789,2,"['2010/6/15', '2018/5/31']"
@012468,3,"['2013/6/25', '2020/7/9', '2022/9/17']"
@123457,9,"['2009/6/18', '2012/8/11', '2012/9/8', '2015/1/15', '2016/2/11', '2016/5/28', '2018/9/18', '2021/3/4', '2022/4/12']"
@035679,2,"['2009/12/10', '2010/8/24']"
@023458,2,"['2009/2/19', '2010/10/9']"
@0125,1,['2018/8/16']
@12569,1,['2019/7/6']
@12479,1,['2018/7/14']
@124589,7,"['2011/7/9', '2013/6/22', '2014/9/27', '2014/12/18', '2016/2/27', '2017/1/10', '2020/8/4']"
@356789,3,"['2009/7/4', '2012/5/15', '2022/10/20']"
@0134568,9,"['2012/5/12', '2013/1/2', '2015/10/20', '2016/9/15', '2017/10/5', '2017/11/23', '2017/12/5', '2019/10/3', '2019/10/31']"
@23567,2,"['2009/5/28', '2018/4/5']"
@124789,3,"['2014/8/5', '2015/9/17', '2022/7/19']"
@012356789,16,"['2009/9/24', '2009/10/3', '2012/2/7', '2014/1/11', '2014/6/12', '2014/8/9', '2015/3/24', '2015/12/22', '2016/2/18', '2016/7/21', '2018/10/4', '2020/1/23', '2020/1/28', '2020/9/29', '2021/9/2', '2022/9/8']"
@135689,3,"['2015/5/30', '2015/8/25', '2019/5/25']"
@02345678,16,"['2009/2/14', '2010/8/12', '2011/2/15', '2012/2/2', '2013/5/28', '2013/10/26', '2014/4/29', '2014/8/30', '2015/4/9', '2015/8/18', '2016/1/26', '2016/6/11', '2017/8/22', '2019/2/2', '2019/6/27', '2022/8/4']"
@0125789,4,"['2012/11/22', '2014/8/7', '2019/2/28', '2020/3/19']"
@0345689,4,"['2011/7/30', '2018/11/5', '2019/3/28', '2021/6/24']"
@12349,1,['2011/1/4']
@0123456789,6,"['2009/8/27', '2010/7/10', '2010/9/4', '2016/7/7', '2017/3/14', '2021/10/16']"
@134789,4,"['2009/9/10', '2011/8/13', '2013/3/16', '2015/9/3']"
@235689,2,"['2016/8/18', '2016/12/12']"
@1234679,14,"['2009/3/24', '2011/4/19', '2013/4/13', '2013/5/16', '2013/5/30', '2013/6/11', '2014/9/18', '2014/12/20', '2015/11/5', '2016/2/4', '2018/12/29', '2020/2/4', '2020/9/19', '2021/5/20']"
@134568,8,"['2009/12/15', '2012/5/22', '2014/5/13', '2014/10/21', '2015/4/4', '2016/1/19', '2016/9/27', '2017/11/2']"
@0123458,6,"['2010/2/6', '2011/2/8', '2011/3/5', '2011/11/17', '2017/8/10', '2017/12/28']"
@013567,1,['2012/5/10']
@01345678,12,"['2012/10/13', '2013/1/24', '2013/7/9', '2014/11/29', '2015/2/28', '2015/4/18', '2018/12/1', '2019/2/23', '2021/1/21', '2021/3/20', '2022/1/13', '2022/11/5']"
@25689,1,['2009/2/28']
@145679,4,"['2010/8/7', '2012/7/5', '2017/6/10', '2018/3/31']"
@012347,1,['2013/3/12']
@12458,2,"['2009/1/15', '2013/6/1']"
@034569,1,['2021/10/12']
@46789,1,['2010/1/5']
@12478,1,['2020/5/16']
@0123479,3,"['2012/8/9', '2018/12/13', '2022/7/21']"
@1235678,22,"['2009/5/30', '2009/6/20', '2011/7/28', '2012/7/17', '2012/11/27', '2012/12/24', '2014/9/6', '2014/10/7', '2015/3/7', '2015/5/21', '2016/1/21', '2016/7/14', '2017/6/1', '2019/4/9', '2019/5/16', '2019/11/14', '2020/8/18', '2020/10/1', '2021/2/20', '2022/2/3', '2022/4/23', '2022/7/12']"
@03678,1,['2018/11/24']
@234568,7,"['2009/8/25', '2011/3/12', '2011/4/23', '2012/4/14', '2013/6/18', '2014/11/20', '2022/4/2']"
@258,1,['2014/11/22']
@2367,1,['2018/11/29']
@01234689,8,"['2009/4/2', '2011/10/11', '2013/1/12', '2013/7/2', '2013/10/8', '2019/1/24', '2019/3/23', '2019/8/8']"
@0235789,5,"['2009/5/16', '2012/2/21', '2017/5/16', '2018/3/17', '2020/1/16']"
@01345679,5,"['2013/5/7', '2013/6/13', '2015/1/27', '2019/6/22', '2021/2/6']"
@125678,10,"['2011/1/22', '2012/5/3', '2013/9/19', '2014/3/29', '2016/3/17', '2017/10/19', '2019/8/19', '2020/5/23', '2021/10/7', '2021/11/2']"
@02357,1,['2011/6/30']
@123678,5,"['2016/10/27', '2017/9/5', '2019/1/12', '2019/6/18', '2021/7/10']"
@0124789,4,"['2009/4/23', '2011/1/3', '2014/6/28', '2019/10/22']"
@24567,1,['2017/10/10']
@014568,2,"['2009/6/6', '2019/1/19']"
@134689,2,"['2010/10/2', '2018/11/20']"
@013458,1,['2018/4/14']
@23579,1,['2022/1/20']
@012356,1,['2013/5/9']
@012579,1,['2016/11/12']
@12456789,22,"['2009/6/30', '2010/3/16', '2010/12/16', '2011/5/17', '2011/6/4', '2011/6/18', '2011/6/21', '2012/2/14', '2012/5/2', '2012/10/4', '2013/3/2', '2013/3/21', '2013/6/29', '2015/4/21', '2015/6/11', '2016/3/24', '2016/6/16', '2017/4/13', '2017/4/18', '2019/4/29', '2019/11/19', '2020/6/1']"
@0124689,4,"['2014/7/31', '2015/6/18', '2018/10/25', '2019/2/12']"
@01234568,14,"['2009/10/13', '2011/4/2', '2015/1/3', '2015/8/1', '2017/7/20', '2019/2/5', '2019/6/29', '2019/12/14', '2020/2/15', '2020/10/31', '2022/4/7', '2022/6/9', '2022/6/16', '2022/10/8']"
@034579,2,"['2009/3/21', '2019/10/12']"
@012379,1,['2017/9/30']
@01234678,18,"['2009/8/20', '2010/1/2', '2010/11/16', '2012/2/4', '2013/2/12', '2013/5/11', '2013/10/15', '2013/12/3', '2014/2/20', '2014/6/26', '2015/9/5', '2016/1/7', '2016/7/23', '2020/5/26', '2021/8/17', '2021/9/16', '2022/3/19', '2022/5/3']"
@01236,1,['2013/7/20']
@013678,2,"['2010/4/6', '2015/7/2']"
@123679,4,"['2011/1/11', '2014/1/23', '2018/5/22', '2022/6/30']"
@24579,1,['2020/9/15']
@1234789,11,"['2009/5/21', '2009/8/18', '2012/8/14', '2012/11/8', '2014/2/22', '2015/12/5', '2017/2/7', '2018/2/3', '2018/7/12', '2022/3/26', '2022/5/14']"
@012346789,14,"['2010/11/30', '2011/4/14', '2011/8/4', '2013/8/17', '2014/1/4', '2015/7/21', '2016/2/6', '2017/8/19', '2017/10/3', '2018/12/11', '2019/9/17', '2020/8/6', '2021/2/27', '2021/12/21']"
@0456789,7,"['2012/10/23', '2014/3/1', '2014/4/3', '2014/5/8', '2016/10/4', '2020/10/13', '2021/7/13']"
@01356,1,['2013/6/8']
@045689,1,['2022/10/4']
@146789,3,"['2009/11/24', '2016/8/30', '2022/10/25']"
@1245689,8,"['2010/4/27', '2010/6/24', '2012/9/22', '2016/3/3', '2018/8/25', '2018/9/22', '2020/3/12', '2020/7/30']"
@235789,5,"['2009/6/23', '2011/9/10', '2017/8/31', '2018/3/1', '2021/5/6']"
@145689,2,"['2010/6/10', '2020/12/12']"
@124569,2,"['2015/5/14', '2015/11/7']"
@1235789,8,"['2009/10/15', '2010/5/22', '2011/10/13', '2015/7/7', '2016/3/8', '2016/11/15', '2019/5/23', '2022/8/20']"
@0123478,3,"['2016/2/16', '2020/7/25', '2021/4/15']"
@0125679,4,"['2009/10/8', '2012/1/7', '2020/12/7', '2021/8/12']"
@23458,3,"['2018/11/17', '2019/1/7', '2019/12/3']"
@0126789,6,"['2009/7/23', '2011/8/20', '2013/11/23', '2020/11/7', '2020/11/28', '2021/10/21']"
@01267,1,['2014/10/4']
@01356789,6,"['2011/8/11', '2012/7/26', '2014/5/17', '2016/8/11', '2016/12/15', '2020/1/25']"
@23478,2,"['2019/6/15', '2021/11/18']"
@01245679,7,"['2012/3/27', '2016/9/8', '2017/9/2', '2018/1/13', '2018/6/23', '2019/7/9', '2022/4/28']"
@35678,1,['2009/3/10']
@013467,2,"['2010/5/25', '2014/5/6']"
@024578,2,"['2015/11/24', '2017/8/24']"
@12567,4,"['2011/7/5', '2011/11/22', '2013/4/27', '2018/2/20']"
@01367,1,['2010/9/11']
@0125689,4,"['2011/8/6', '2013/11/7', '2016/10/6', '2019/4/16']"
@245789,4,"['2012/7/21', '2014/7/19', '2015/11/19', '2022/4/9']"
@0135689,4,"['2010/11/2', '2017/9/28', '2021/6/22', '2021/8/21']"
@12468,2,"['2015/9/12', '2018/3/24']"
@12356,2,"['2014/7/3', '2018/3/29']"
@0134578,7,"['2015/9/1', '2015/9/10', '2015/10/27', '2017/6/17', '2018/9/29', '2020/3/10', '2020/6/9']"
@14569,1,['2011/7/2']
@12457,1,['2017/5/13']
@012457,1,['2010/11/4']
@34679,1,['2018/6/7']
@023489,1,['2018/3/20']
@0346789,3,"['2010/9/7', '2019/7/16', '2020/11/14']"
@2347,1,['2009/4/4']
@1234567,21,"['2009/11/19', '2010/11/9', '2011/6/25', '2012/7/7', '2013/1/10', '2013/10/3', '2013/10/24', '2014/8/14', '2015/10/17', '2016/12/6', '2017/12/30', '2018/3/6', '2018/9/27', '2019/5/18', '2019/9/5', '2021/3/23', '2021/7/8', '2021/12/16', '2022/6/4', '2022/7/7', '2022/8/30']"
@1456789,6,"['2009/7/7', '2010/1/19', '2010/8/5', '2014/6/21', '2018/5/5', '2018/12/20']"
@138,1,['2009/1/31']
@02456789,8,"['2010/9/14', '2011/5/24', '2015/1/29', '2018/5/12', '2019/5/11', '2019/12/24', '2021/10/26', '2022/5/28']"
@0124589,6,"['2013/2/26', '2016/5/12', '2016/7/19', '2017/7/1', '2017/8/1', '2022/8/6']"
@0124679,4,"['2012/11/20', '2014/2/6', '2020/7/11', '2021/10/2']"
@0125678,6,"['2009/9/15', '2011/5/14', '2013/8/31', '2014/9/13', '2016/12/3', '2020/2/22']"
@12345689,22,"['2010/2/4', '2010/5/11', '2010/8/26', '2011/4/21', '2011/9/3', '2012/3/17', '2012/4/28', '2012/5/8', '2014/2/27', '2014/4/12', '2014/6/7', '2014/6/17', '2014/10/14', '2014/12/16', '2015/1/24', '2017/4/6', '2018/7/31', '2018/9/1', '2019/1/31', '2021/4/8', '2021/9/14', '2022/5/7']"
@013789,1,['2012/9/27']
@0123569,2,"['2021/1/12', '2022/9/13']"
@0245679,5,"['2009/8/11', '2014/4/19', '2014/5/5', '2016/1/5', '2022/10/13']"
@126789,4,"['2015/5/26', '2017/1/7', '2019/1/26', '2021/6/8']"
@24578,6,"['2009/10/17', '2011/7/12', '2012/7/24', '2014/1/14', '2014/10/25', '2015/8/29']"
@015679,2,"['2020/2/27', '2020/10/3']"
@34789,1,['2019/11/7']
@015678,2,"['2012/9/20', '2014/4/24']"
@0245789,1,['2014/12/11']
@012345679,8,"['2010/8/31', '2012/1/19', '2015/2/3', '2017/8/3', '2018/8/9', '2020/3/17', '2020/7/23', '2021/7/6']"
@123458,5,"['2009/5/2', '2015/12/28', '2016/4/5', '2019/10/26', '2019/11/9']"
@01234569,10,"['2009/3/19', '2009/3/31', '2010/2/23', '2010/12/4', '2012/5/24', '2013/12/12', '2016/8/20', '2019/7/13', '2020/10/20', '2021/5/15']"
@1245679,10,"['2009/9/12', '2010/4/3', '2010/12/28', '2011/1/27', '2014/12/30', '2017/2/28', '2018/6/16', '2019/10/10', '2019/12/5', '2022/2/22']"
@124567,11,"['2010/1/30', '2010/7/31', '2010/12/23', '2011/9/29', '2012/9/13', '2017/2/2', '2018/4/26', '2019/6/8', '2019/8/22', '2019/11/30', '2020/12/22']"
@24569,1,['2016/5/10']
@1356789,3,"['2011/3/24', '2015/10/13', '2018/6/14']"
@135678,4,"['2012/3/13', '2013/11/28', '2016/12/29', '2019/3/12']"
@046789,1,['2018/1/9']
@0124569,4,"['2009/1/13', '2013/1/3', '2014/8/26', '2015/1/8']"
@23456,2,"['2014/1/21', '2020/7/21']"
@13468,1,['2010/6/29']
@012348,1,['2018/8/23']
@13457,1,['2019/8/27']
@025678,3,"['2013/12/31', '2022/5/21', '2022/7/30']"
@045789,1,['2011/6/14']
@01245689,6,"['2016/9/17', '2016/11/10', '2018/11/10', '2019/5/7', '2020/11/5', '2021/10/14']"
@0345789,3,"['2010/4/15', '2016/8/2', '2020/2/29']"
@0124678,10,"['2009/4/18', '2009/12/29', '2010/3/20', '2012/11/6', '2014/9/9', '2015/4/7', '2016/11/22', '2018/8/18', '2019/12/7', '2021/6/3']"
@013456789,16,"['2010/8/21', '2011/7/19', '2012/2/25', '2012/4/5', '2013/12/24', '2014/5/10', '2015/4/14', '2017/1/26', '2017/6/29', '2018/10/9', '2019/2/21', '2019/12/23', '2020/3/5', '2021/9/11', '2022/2/5', '2022/3/1']"
@234567,10,"['2011/5/7', '2012/2/28', '2013/10/22', '2014/12/9', '2018/1/23', '2019/6/20', '2021/9/30', '2021/10/28', '2022/5/24', '2022/6/23']"
@0123467,6,"['2011/2/1', '2011/6/3', '2012/9/1', '2013/12/17', '2017/5/25', '2017/8/12']"
@0246789,1,['2014/11/15']
@12367,2,"['2019/6/13', '2019/8/3']"
@0123678,5,"['2012/7/3', '2014/11/25', '2015/9/24', '2017/2/16', '2020/12/1']"
@134678,10,"['2009/2/24', '2012/3/15', '2014/2/1', '2015/8/13', '2018/7/19', '2018/12/4', '2019/7/2', '2020/11/10', '2021/4/13', '2021/5/22']"
@234789,3,"['2012/7/31', '2018/1/30', '2020/12/3']"
@0123578,2,"['2009/3/26', '2017/6/24']"
@123569,2,"['2011/3/18', '2012/12/15']"
@02467,1,['2015/7/18']
@01235679,10,"['2015/2/14', '2015/9/15', '2017/5/4', '2017/5/30', '2018/8/21', '2019/4/2', '2019/4/23', '2019/8/31', '2019/10/17', '2021/2/16']"
@123578,12,"['2009/4/28', '2011/9/27', '2012/5/19', '2013/6/27', '2015/4/30', '2015/11/21', '2017/7/4', '2018/1/11', '2018/5/24', '2019/5/2', '2019/10/24', '2022/5/5']"
@14689,1,['2021/7/1']
@0123689,2,"['2009/7/11', '2012/1/21']"
@0236789,1,['2017/6/3']
@1235,1,['2011/8/30']
@235678,11,"['2009/1/29', '2009/10/24', '2011/1/8', '2012/1/24', '2012/8/2', '2013/4/30', '2014/5/27', '2014/11/18', '2014/12/4', '2015/6/16', '2022/3/15']"
@012456789,8,"['2010/5/8', '2010/8/17', '2010/10/7', '2014/10/9', '2017/9/7', '2018/9/25', '2019/2/16', '2021/12/2']"
@012467,2,"['2012/10/16', '2015/2/17']"
@012478,1,['2013/1/15']
@1235679,7,"['2010/7/17', '2010/10/28', '2013/5/2', '2016/3/29', '2016/5/14', '2019/11/26', '2020/11/24']"
@01235789,3,"['2013/10/12', '2017/10/14', '2020/12/24']"
@234569,2,"['2013/2/16', '2022/9/27']"
@01235678,13,"['2009/2/17', '2010/3/6', '2011/12/13', '2012/1/26', '2012/6/7', '2013/11/12', '2017/9/12', '2017/10/17', '2018/5/15', '2018/10/16', '2018/10/18', '2021/3/25', '2021/6/29']"
@25679,1,['2020/8/17']
@1246789,11,"['2010/2/13', '2010/9/21', '2010/10/23', '2016/11/26', '2017/6/27', '2017/9/23', '2018/5/10', '2019/6/1', '2020/10/24', '2021/3/27', '2022/7/5']"
@34578,3,"['2013/4/6', '2013/9/10', '2021/6/5']"
@23789,2,"['2019/1/22', '2021/4/6']"
@12348,1,['2016/12/31']
@134579,8,"['2010/11/6', '2011/7/21', '2012/5/5', '2012/10/27', '2016/12/17', '2017/1/28', '2021/5/25', '2021/8/7']"
@012679,1,['2011/10/18']
@034578,1,['2009/3/17']
@0124578,13,"['2009/11/5', '2011/2/17', '2011/6/23', '2012/1/28', '2014/1/9', '2014/3/13', '2014/7/12', '2016/2/23', '2019/3/30', '2020/9/1', '2021/3/9', '2021/3/30', '2021/7/24']"
@136789,3,"['2012/6/16', '2014/4/5', '2021/11/16']"
@0123567,4,"['2009/11/26', '2011/6/9', '2016/12/1', '2019/2/19']"
@24679,1,['2013/7/6']
@0235679,6,"['2009/12/9', '2010/4/8', '2014/4/1', '2018/5/26', '2019/3/21', '2019/11/21']"
@1234678,37,"['2009/7/2', '2009/7/30', '2009/12/28', '2010/3/4', '2010/8/28', '2010/11/18', '2011/7/23', '2011/8/18', '2011/10/29', '2011/12/3', '2012/1/10', '2013/6/4', '2013/9/24', '2013/10/31', '2013/12/5', '2014/2/15', '2014/3/27', '2015/3/3', '2015/7/14', '2015/7/28', '2016/3/31', '2016/4/14', '2016/5/31', '2016/10/15', '2016/10/18', '2016/12/22', '2017/2/18', '2017/9/21', '2017/11/18', '2018/7/3', '2018/9/15', '2018/10/2', '2019/10/29', '2020/1/11', '2021/8/24', '2022/10/1', '2022/10/31']"
@12578,1,['2012/12/27']
@245679,1,['2019/2/7']
@13478,2,"['2013/8/13', '2014/1/18']"
@145789,4,"['2011/2/10', '2011/6/16', '2015/3/21', '2019/4/6']"
@0135678,6,"['2015/5/28', '2017/11/11', '2018/3/27', '2020/6/27', '2020/10/8', '2020/11/12']"
@025689,1,['2018/3/8']
@02345679,8,"['2009/3/5', '2011/2/3', '2011/12/22', '2013/4/18', '2016/6/7', '2016/10/20', '2017/3/28', '2020/12/5']"
@123489,2,"['2020/10/29', '2021/7/29']"
@014689,1,['2009/5/9']
@0235678,10,"['2010/4/1', '2010/5/18', '2011/2/24', '2011/3/26', '2012/2/23', '2017/5/6', '2017/5/9', '2019/10/5', '2021/9/18', '2022/9/10']"
@123567,6,"['2012/9/15', '2013/4/23', '2015/8/8', '2016/10/11', '2017/11/16', '2019/2/26']"
@245678,4,"['2010/3/11', '2013/10/5', '2016/9/20', '2018/1/27']"
@014589,1,['2011/11/2']
@36789,1,['2012/10/9']
@0124568,5,"['2011/9/1', '2017/12/9', '2019/3/7', '2021/12/30', '2022/5/12']"
@1578,1,['2017/7/29']
@0168,1,['2012/12/11']
@012345678,20,"['2009/1/10', '2009/11/14', '2010/10/5', '2011/8/9', '2012/6/4', '2012/10/6', '2014/5/3', '2014/11/27', '2015/2/7', '2016/8/25', '2016/11/8', '2016/12/13', '2016/12/27', '2017/5/23', '2018/7/10', '2019/7/18', '2020/12/29', '2021/10/5', '2022/3/12', '2022/9/22']"
