Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5
1,3,2021,7,22,26,27,28,36
2,3,2021,7,1,2,9,10,23
3,3,2021,7,2,3,14,21,36
4,3,2021,7,2,8,25,31,36
5,3,2021,7,12,16,18,32,37
6,3,2021,7,1,14,22,30,40
7,3,2021,7,19,21,22,23,36
8,3,2021,7,2,18,23,38,39
9,3,2021,7,1,25,26,32,40
10,3,2021,7,6,19,21,23,27
11,3,2021,7,14,31,37,38,39
12,3,2021,7,2,7,14,17,24
13,3,2021,7,8,10,16,33,36
14,3,2021,7,3,14,20,26,28
15,3,2021,7,7,8,9,11,30
16,3,2021,7,1,7,13,14,31
17,3,2021,7,9,30,34,38,40
18,3,2021,7,2,12,14,17,35
19,3,2021,7,10,18,22,30,31
20,3,2021,7,4,26,27,36,40
21,3,2021,7,15,18,20,30,35
22,3,2021,7,9,12,30,33,35
23,3,2021,7,1,4,8,28,37
24,3,2021,7,4,10,12,30,32
25,3,2021,7,10,14,24,30,32
26,3,2021,7,1,2,7,21,34
27,3,2021,7,4,11,16,19,35
28,3,2021,7,3,4,5,8,39
29,3,2021,7,6,12,27,36,40
30,3,2021,7,14,16,34,36,40
31,3,2021,7,2,22,27,33,39
1,4,2021,7,3,4,7,19,37
2,4,2021,7,2,6,13,26,39
3,4,2021,7,7,8,22,25,26
4,4,2021,7,11,17,19,20,22
5,4,2021,7,27,30,33,37,39
6,4,2021,7,17,18,19,37,40
7,4,2021,7,10,12,13,14,33
8,4,2021,7,4,15,23,36,37
9,4,2021,7,2,4,6,7,24
10,4,2021,7,8,12,17,31,39
18,10,2021,7,9,18,20,29,37
19,10,2021,7,7,9,14,28,37
20,10,2021,7,20,23,32,35,40
21,10,2021,7,1,6,8,12,27
22,10,2021,7,6,12,14,21,25
23,10,2021,7,7,13,17,19,37
24,10,2021,7,11,12,15,26,36
25,10,2021,7,10,16,23,31,40
26,10,2021,7,2,9,11,17,38
27,10,2021,7,10,21,23,30,35
28,10,2021,7,1,5,8,32,37
29,10,2021,7,6,9,12,30,33
30,10,2021,7,6,14,16,26,31
31,10,2021,7,11,13,31,35,37
1,11,2021,7,1,5,7,9,36
2,11,2021,7,2,6,8,11,13
3,11,2021,7,6,13,27,36,39
4,11,2021,7,10,15,26,34,39
5,11,2021,7,6,7,19,20,35
6,11,2021,7,7,20,22,23,25
7,11,2021,7,11,16,21,29,33
8,11,2021,7,9,17,20,26,28
9,11,2021,7,6,15,24,32,36
10,11,2021,7,3,7,8,9,11
11,11,2021,7,2,16,31,35,36
12,11,2021,7,4,11,14,25,29
13,11,2021,7,10,20,25,31,38
14,11,2021,7,15,16,17,34,35
15,11,2021,7,6,12,14,19,38
16,11,2021,7,3,15,30,38,40
17,11,2021,7,4,6,8,17,38
18,11,2021,7,1,11,25,28,32
19,11,2021,7,11,18,19,34,38
20,11,2021,7,1,4,17,24,39
21,11,2021,7,6,10,24,26,27
22,11,2021,7,17,28,31,32,35
23,11,2021,7,4,31,33,38,39
24,11,2021,7,16,18,21,35,40
25,11,2021,7,3,6,13,17,35
26,11,2021,7,6,11,13,29,31
27,11,2021,7,4,12,18,33,39
28,11,2021,7,1,2,9,15,36
29,11,2021,7,6,11,15,26,28
30,11,2021,7,8,18,25,31,33
1,12,2021,7,8,9,16,20,35
2,12,2021,7,9,27,31,36,38
3,12,2021,7,1,11,13,20,35
4,12,2021,7,17,21,24,35,39
5,12,2021,7,9,17,24,25,38
6,12,2021,7,14,16,28,33,34
7,12,2021,7,7,13,18,29,35
8,12,2021,7,3,21,24,37,40
9,12,2021,7,23,34,37,38,39
10,12,2021,7,3,7,8,17,34
11,12,2021,7,3,6,9,13,40
12,12,2021,7,8,16,22,28,31
13,12,2021,7,6,9,15,36,37
14,12,2021,7,18,21,25,33,38
15,12,2021,7,3,7,18,29,31
16,12,2021,7,13,21,32,36,40
17,12,2021,7,1,8,20,21,27
18,12,2021,7,4,14,31,37,40
19,12,2021,7,1,5,12,30,40
20,12,2021,7,5,19,24,26,35
21,12,2021,7,2,8,19,25,37
22,12,2021,7,6,12,23,31,39
23,12,2021,7,5,17,23,27,35
24,12,2021,7,2,8,18,22,24
25,12,2021,7,4,9,13,19,27
26,12,2021,7,10,11,16,26,32
27,12,2021,7,2,7,32,33,35
28,12,2021,7,3,7,13,19,25
29,12,2021,7,4,6,9,25,33
30,12,2021,7,1,18,22,28,39
31,12,2021,7,20,25,30,35,39
1,1,2022,7,4,5,14,36,37
2,1,2022,7,4,5,22,23,24
3,1,2022,7,16,18,19,37,39
4,1,2022,7,11,13,18,24,38
5,1,2022,7,2,3,25,36,39
6,1,2022,7,2,13,23,29,34
7,1,2022,7,20,24,26,31,38
8,1,2022,7,13,17,18,31,35
9,1,2022,7,7,9,13,16,32
10,1,2022,7,4,9,23,31,40
11,1,2022,7,1,2,4,27,32
12,1,2022,7,15,21,23,25,36
13,1,2022,7,12,23,25,28,31
14,1,2022,7,6,15,19,27,38
15,1,2022,7,6,15,19,35,38
16,1,2022,7,2,10,14,17,32
17,1,2022,7,4,15,32,39,40
18,1,2022,7,6,10,31,37,38
19,1,2022,7,1,12,20,24,36
20,1,2022,7,14,15,21,33,38
21,1,2022,7,6,15,16,17,27
22,1,2022,7,14,21,23,24,34
23,1,2022,7,11,15,28,35,38
24,1,2022,7,14,15,18,23,37
26,1,2022,0,0,0,0,0,0,0,0,0,0,0
25,1,2022,7,7,13,22,35,39
27,1,2022,7,4,13,23,29,30
28,1,2022,7,1,4,5,14,20
29,1,2022,7,2,16,17,23,27
30,1,2022,7,4,7,13,16,23
31,1,2022,7,1,4,13,16,36
1,2,2022,7,1,9,13,17,25
2,2,2022,7,1,5,20,24,38
3,2,2022,7,9,20,21,33,36
4,2,2022,7,10,24,28,29,38
5,2,2022,7,2,5,19,30,31
6,2,2022,7,2,7,8,22,31
7,2,2022,7,4,14,17,28,36
8,2,2022,7,7,8,21,28,32
9,2,2022,7,3,22,23,32,34
10,2,2022,7,6,7,20,34,39
11,2,2022,7,21,25,27,28,33
12,2,2022,7,3,4,18,21,39
13,2,2022,7,6,21,23,27,31
14,2,2022,7,7,11,21,23,28
15,2,2022,7,5,9,23,25,28
16,2,2022,7,6,12,13,25,33
17,2,2022,7,1,23,35,37,39
18,2,2022,7,2,4,16,27,33
19,2,2022,7,5,10,15,20,36
20,2,2022,7,4,5,12,14,40
21,2,2022,7,5,19,22,26,37
22,2,2022,7,7,10,26,28,40
23,2,2022,7,1,16,21,22,29
24,2,2022,7,2,18,35,36,39
25,2,2022,7,7,20,27,29,37
26,2,2022,7,3,19,25,29,32
27,2,2022,7,11,12,14,25,29
28,2,2022,7,5,19,31,36,40
1,3,2022,7,13,22,27,31,36
2,3,2022,7,1,14,24,35,37
3,3,2022,7,5,17,18,20,23
4,3,2022,7,2,4,7,11,16
5,3,2022,7,7,11,34,36,40
6,3,2022,7,17,28,29,34,37
7,3,2022,7,11,16,21,27,36
8,3,2022,7,5,13,18,32,39
9,3,2022,7,2,8,11,18,38
10,3,2022,7,11,19,20,35,37
11,3,2022,7,6,7,8,13,18
12,3,2022,7,5,23,32,33,37
13,3,2022,7,11,12,29,35,36
14,3,2022,7,10,19,23,24,40
15,3,2022,7,6,10,14,26,28
16,3,2022,7,5,8,9,13,36
17,3,2022,7,1,5,30,32,36
18,3,2022,7,8,25,28,38,40
19,3,2022,7,1,2,4,10,26
20,3,2022,7,3,12,22,28,30
21,3,2022,7,5,23,24,31,35
22,3,2022,7,15,31,32,34,40
23,3,2022,7,17,19,23,27,33
24,3,2022,7,26,27,28,33,38
25,3,2022,7,3,4,8,16,36
26,3,2022,7,1,21,33,36,40
27,3,2022,7,4,13,32,36,39
28,3,2022,7,9,21,24,33,40
29,3,2022,7,1,17,22,30,34
30,3,2022,7,3,16,25,39,40
31,3,2022,7,5,23,28,29,33
1,4,2022,7,1,21,29,30,31
2,4,2022,7,2,6,8,26,39
3,4,2022,7,1,31,32,34,37
4,4,2022,7,1,24,29,33,37
5,4,2022,7,4,6,15,23,32
6,4,2022,7,1,2,12,25,26
7,4,2022,7,9,28,36,38,40
8,4,2022,7,2,12,20,22,33
9,4,2022,7,1,10,23,31,33
10,4,2022,7,10,13,19,23,35
11,4,2022,7,8,12,23,33,34
12,4,2022,7,8,25,34,36,39
13,4,2022,7,10,17,18,34,38
14,4,2022,7,1,13,22,33,37
15,4,2022,7,1,11,17,24,38
16,4,2022,7,18,27,36,38,40
17,4,2022,7,2,7,9,22,23
18,4,2022,7,7,10,19,27,30
19,4,2022,7,22,23,24,33,35
20,4,2022,7,1,26,32,36,40
21,4,2022,7,7,11,14,16,29
22,4,2022,7,7,20,24,27,36
23,4,2022,7,6,21,25,30,31
24,4,2022,7,10,13,16,17,38
25,4,2022,7,7,11,22,31,40
26,4,2022,7,4,7,10,18,31
27,4,2022,7,5,9,19,24,26
28,4,2022,7,11,16,20,30,35
29,4,2022,7,18,21,24,29,33
30,4,2022,7,1,8,13,32,38
1,5,2022,7,5,8,11,17,23
2,5,2022,7,5,6,11,16,37
3,5,2022,7,7,14,17,21,24
4,5,2022,7,7,13,15,21,24
5,5,2022,7,6,8,19,24,38
6,5,2022,7,2,13,18,20,22
7,5,2022,7,5,10,20,24,39
8,5,2022,7,6,11,30,34,36
9,5,2022,7,4,5,25,30,35
10,5,2022,7,1,22,32,36,37
11,5,2022,7,12,23,24,28,29
12,5,2022,7,9,16,17,28,31
13,5,2022,7,3,7,8,12,22
14,5,2022,7,2,6,12,28,32
15,5,2022,7,1,26,29,34,36
16,5,2022,7,10,15,21,22,40
17,5,2022,7,3,24,31,37,40
18,5,2022,7,5,7,12,15,40
19,5,2022,7,6,11,24,31,32
20,5,2022,7,6,7,14,19,29
21,5,2022,7,3,9,21,24,31
22,5,2022,7,12,17,24,26,35
23,5,2022,7,1,4,14,24,30
24,5,2022,7,3,6,23,24,38
25,5,2022,7,8,18,29,33,35
26,5,2022,7,23,24,32,39,40
27,5,2022,7,5,19,26,30,38
28,5,2022,7,14,19,24,28,34
29,5,2022,7,2,12,13,25,35
30,5,2022,7,7,12,31,33,34
31,5,2022,7,3,18,34,39,40
1,6,2022,7,3,11,16,22,26
2,6,2022,7,12,18,26,29,39
3,6,2022,7,3,4,14,19,35
4,6,2022,7,10,15,17,20,37
5,6,2022,7,5,17,23,25,26
6,6,2022,7,4,7,20,38,39
7,6,2022,7,1,2,21,28,37
8,6,2022,7,10,11,25,29,30
9,6,2022,7,2,6,15,26,30
10,6,2022,7,17,23,34,35,40
11,6,2022,7,2,5,7,15,26
12,6,2022,7,4,15,21,33,34
13,6,2022,7,7,10,15,34,39
14,6,2022,7,9,11,17,21,29
15,6,2022,7,10,20,26,34,38
16,6,2022,7,1,4,18,22,38
17,6,2022,7,9,16,22,26,39
18,6,2022,7,3,19,28,33,38
19,6,2022,7,4,13,20,29,40
20,6,2022,7,5,7,18,29,31
21,6,2022,7,10,11,18,31,35
22,6,2022,7,9,12,19,29,38
23,6,2022,7,2,4,8,21,27
24,6,2022,7,7,8,10,11,37
25,6,2022,7,3,19,21,30,37
26,6,2022,7,5,16,21,29,40
27,6,2022,7,2,3,24,28,40
28,6,2022,7,19,24,27,30,37
29,6,2022,7,3,15,20,29,31
30,6,2022,7,6,18,20,36,40
1,7,2022,7,3,15,29,36,38
2,7,2022,7,4,16,18,24,34
3,7,2022,7,1,19,24,28,31
4,7,2022,7,10,12,29,37,39
5,7,2022,7,1,5,14,31,40
6,7,2022,7,13,25,29,32,35
7,7,2022,7,8,18,21,25,28
8,7,2022,7,8,15,33,34,37
9,7,2022,7,7,15,18,19,29
10,7,2022,7,7,8,17,26,33
11,7,2022,7,9,10,17,20,29
12,7,2022,7,16,33,38,39,40
13,7,2022,7,5,10,11,15,34
14,7,2022,7,7,14,23,25,40
15,7,2022,7,9,21,22,32,35
16,7,2022,7,3,4,14,21,40
17,7,2022,7,3,10,11,33,38
18,7,2022,7,3,11,13,22,37
19,7,2022,7,9,20,30,35,39
20,7,2022,7,14,19,22,27,31
21,7,2022,7,1,14,19,29,31
22,7,2022,7,6,10,18,19,35
23,7,2022,7,3,9,11,15,29
24,7,2022,7,2,8,16,24,33
25,7,2022,7,17,19,20,22,26
26,7,2022,7,3,14,15,17,27
27,7,2022,7,1,27,35,37,39
28,7,2022,7,3,6,11,35,38
29,7,2022,7,5,12,23,39,40
30,7,2022,7,8,12,27,33,39
31,7,2022,7,5,14,27,39,40
1,8,2022,7,5,11,21,28,29
2,8,2022,7,1,2,22,23,29
3,8,2022,7,1,6,17,20,28
4,8,2022,7,1,2,11,15,38
5,8,2022,7,4,8,21,30,34
6,8,2022,7,1,13,14,27,34
7,8,2022,7,1,3,15,27,30
8,8,2022,7,4,10,28,31,35
9,8,2022,7,11,20,21,26,32
10,8,2022,7,10,11,18,36,39
11,8,2022,7,3,17,19,23,38
12,8,2022,7,4,12,16,18,22
13,8,2022,7,1,10,14,22,23
15,8,2022,0,0,0,0,0,0,0,0,0,0,0
14,8,2022,7,4,15,24,26,34
16,8,2022,7,6,10,11,17,26
17,8,2022,7,1,5,21,27,37
18,8,2022,7,4,7,12,24,31
19,8,2022,7,1,18,22,24,36
20,8,2022,7,5,10,18,24,35
21,8,2022,7,24,28,31,36,39
22,8,2022,7,9,10,25,26,37
23,8,2022,7,19,20,22,35,37
24,8,2022,7,4,15,21,29,31
25,8,2022,7,7,17,32,36,37
26,8,2022,7,7,8,23,33,39
27,8,2022,7,5,14,19,28,39
28,8,2022,7,10,17,30,33,37
29,8,2022,7,4,11,21,32,38
30,8,2022,7,8,18,25,31,39
31,8,2022,7,9,12,16,30,35
1,9,2022,7,7,13,29,30,39
2,9,2022,7,4,14,18,19,34
3,9,2022,7,4,30,36,37,40
4,9,2022,7,11,30,32,37,38
5,9,2022,7,4,12,13,35,40
6,9,2022,7,4,5,13,26,27
7,9,2022,7,1,9,18,20,27
8,9,2022,7,4,25,27,30,39
9,9,2022,7,9,17,18,31,36
10,9,2022,7,1,28,29,33,36
11,9,2022,7,18,20,25,29,36
12,9,2022,7,2,3,12,33,39
13,9,2022,7,3,8,14,20,32
14,9,2022,7,5,8,12,22,38
15,9,2022,7,12,25,31,32,35
16,9,2022,7,10,31,34,35,38
17,9,2022,7,1,8,14,20,23
18,9,2022,7,5,7,24,25,40
19,9,2022,7,6,13,14,18,21
20,9,2022,7,4,10,19,25,32
21,9,2022,7,3,23,34,38,39
22,9,2022,7,18,27,28,32,34
23,9,2022,7,6,9,19,26,28
24,9,2022,7,12,16,28,36,40
25,9,2022,7,8,21,30,34,39
26,9,2022,7,9,13,28,32,40
27,9,2022,7,11,17,20,25,26
28,9,2022,7,1,6,10,27,33
29,9,2022,7,2,4,13,17,18
30,9,2022,7,2,7,11,12,28
2,10,2022,0,0,0,0,0,0,0,0,0,0,0
1,10,2022,7,12,22,31,33,34
3,10,2022,7,6,13,14,23,36
4,10,2022,7,2,3,10,23,25
5,10,2022,7,2,6,9,10,31
6,10,2022,7,3,5,7,12,17
7,10,2022,7,1,13,15,27,28
8,10,2022,7,5,13,28,34,37
9,10,2022,7,4,5,10,18,38
10,10,2022,7,2,9,10,36,37
11,10,2022,7,4,9,15,25,29
12,10,2022,7,1,8,9,10,12
13,10,2022,7,14,15,21,29,37
14,10,2022,7,4,5,18,33,38
15,10,2022,7,4,11,19,23,31
16,10,2022,7,5,21,27,28,36
17,10,2022,7,23,26,29,32,40
18,10,2022,7,2,10,17,30,39
19,10,2022,7,6,10,13,19,35
20,10,2022,7,13,18,21,33,37
21,10,2022,7,5,6,8,13,20
22,10,2022,7,8,15,20,22,34
23,10,2022,7,4,11,17,19,26
24,10,2022,7,1,5,12,14,24
25,10,2022,7,4,5,9,32,34
26,10,2022,7,2,3,9,10,38
27,10,2022,7,1,12,31,35,40
28,10,2022,7,1,3,5,17,39
29,10,2022,7,7,14,27,35,39
30,10,2022,7,3,8,17,34,40
31,10,2022,7,5,16,21,26,36
1,11,2022,7,11,19,25,32,35
2,11,2022,7,5,10,11,27,29
3,11,2022,7,15,22,25,27,32
4,11,2022,7,4,5,7,27,33
5,11,2022,7,9,13,18,21,29
6,11,2022,7,1,21,27,29,38
7,11,2022,7,5,7,26,27,36
8,11,2022,7,5,10,14,16,23
9,11,2022,7,5,13,27,28,35
10,11,2022,7,13,14,17,21,22
11,11,2022,7,1,23,27,30,33
12,11,2022,7,8,10,14,28,39
13,11,2022,7,22,29,30,35,40
14,11,2022,7,21,29,30,34,37
15,11,2022,7,8,10,15,26,30
16,11,2022,7,2,10,16,20,25
17,11,2022,7,1,10,18,19,40
18,11,2022,7,6,10,18,26,40
19,11,2022,7,4,25,30,31,38
20,11,2022,7,3,8,9,16,36
21,11,2022,7,3,8,13,19,21
22,11,2022,7,5,13,20,21,34
23,11,2022,7,2,5,15,26,30
24,11,2022,7,3,4,7,21,34
25,11,2022,7,6,15,17,23,28
26,11,2022,7,1,12,28,32,35
27,11,2022,7,5,9,16,33,34
28,11,2022,7,19,21,28,29,35
29,11,2022,7,8,12,27,28,30
30,11,2022,7,9,11,20,31,37
1,12,2022,7,19,22,23,24,34
2,12,2022,7,15,18,21,31,37
3,12,2022,7,3,7,13,18,24
4,12,2022,7,1,8,13,23,31
5,12,2022,7,3,9,24,31,36
6,12,2022,7,3,7,13,28,35
7,12,2022,7,5,16,23,27,35
8,12,2022,7,7,10,12,16,33
9,12,2022,7,3,7,8,10,37
10,12,2022,7,8,11,12,30,35
11,12,2022,7,8,23,24,32,37
12,12,2022,7,5,6,10,15,25
13,12,2022,7,3,6,10,33,34
14,12,2022,7,2,21,22,25,31
15,12,2022,7,17,26,28,30,36
16,12,2022,7,17,22,23,27,36
17,12,2022,7,9,17,25,31,35
18,12,2022,7,3,5,10,17,36
19,12,2022,7,7,9,12,21,32
20,12,2022,7,2,9,15,20,29
21,12,2022,7,2,6,9,27,34
22,12,2022,7,6,14,21,26,35
23,12,2022,7,12,24,27,31,35
24,12,2022,7,1,5,28,32,37
25,12,2022,7,8,9,12,28,29
26,12,2022,7,2,5,6,25,34
27,12,2022,7,5,16,26,36,37
28,12,2022,7,1,6,18,21,32
29,12,2022,7,20,21,23,29,37
30,12,2022,7,4,9,27,29,31
31,12,2022,7,6,11,21,30,34
1,1,2023,7,4,17,22,30,35
2,1,2023,7,9,10,19,28,31
3,1,2023,7,9,13,25,27,33
4,1,2023,7,3,8,14,19,29
5,1,2023,7,7,9,13,15,33
6,1,2023,7,1,7,19,25,27
7,1,2023,7,6,9,16,17,31
8,1,2023,7,4,9,33,35,37
9,1,2023,7,9,12,18,33,37
10,1,2023,7,7,8,10,14,22
11,1,2023,7,7,18,24,25,27
12,1,2023,7,3,7,24,27,32
13,1,2023,7,7,8,12,18,31
14,1,2023,7,9,15,19,24,35
15,1,2023,7,13,14,15,25,29
16,1,2023,7,14,16,19,21,34
17,1,2023,7,19,22,25,27,34
18,1,2023,7,1,31,34,36,37
19,1,2023,7,14,15,16,18,35
20,1,2023,7,2,5,25,35,37
21,1,2023,7,3,4,19,20,24
22,1,2023,7,5,9,25,33,37
23,1,2023,7,8,10,12,17,34
24,1,2023,7,3,11,15,16,22
26,1,2023,0,0,0,0,0,0,0,0,0,0,0
25,1,2023,7,11,19,21,28,35
27,1,2023,7,1,10,13,23,28
28,1,2023,7,4,21,24,34,36
29,1,2023,7,7,19,20,25,31
30,1,2023,7,13,17,27,29,30
31,1,2023,7,9,15,32,33,36
1,2,2023,7,1,14,16,31,35
2,2,2023,7,13,16,18,27,30
3,2,2023,7,3,8,10,13,34
4,2,2023,7,9,17,18,30,34
5,2,2023,7,15,16,18,21,27
6,2,2023,7,8,9,15,19,20
7,2,2023,7,5,7,24,27,33
8,2,2023,7,8,14,15,30,35
9,2,2023,7,2,3,21,29,37
10,2,2023,7,6,10,15,21,25
11,2,2023,7,5,14,17,20,32
12,2,2023,7,3,16,26,29,33
13,2,2023,6,16,18,20,21,29
14,2,2023,6,15,16,24,28,29
15,2,2023,6,2,8,12,32,35
