Date of Draw,1st_D,2nd_D,3rd_D,4th_D,5th_D,6th_D,1st_Del,2nd_Del,3rd_Del,4th_Del,5th_Del,6th_Del
2009/1/2,16,19,29,34,48,64,0,0,0,0,0,0
2009/1/3,17,24,25,40,58,64,0,0,0,0,0,1
2009/1/7,14,31,35,40,50,66,0,0,0,0,0,4
2009/1/8,14,23,24,41,71,73,0,0,0,0,1,5
2009/1/10,2,15,35,54,60,78,0,0,0,0,0,3
2009/1/13,9,14,21,55,66,90,0,0,0,0,6,6
2009/1/15,8,15,24,25,44,55,0,0,2,5,12,12
2009/1/17,13,17,25,55,64,85,0,0,4,14,14,15
2009/1/20,19,35,49,52,75,79,0,0,0,0,13,18
2009/1/22,1,2,40,52,67,82,0,0,0,2,12,19
2009/1/24,2,4,13,23,28,68,0,0,0,7,14,16
2009/1/27,20,31,44,51,65,74,0,0,0,0,12,20
2009/1/29,27,32,55,65,76,86,0,0,0,0,2,16
2009/1/31,1,3,8,38,83,88,0,0,0,0,9,16
2009/2/3,11,13,17,49,51,61,0,0,7,14,17,31
2009/2/5,7,18,27,33,35,43,0,0,0,0,7,29
2009/2/7,8,23,58,61,76,79,4,9,18,23,30,35
2009/2/10,11,18,47,80,89,90,0,0,0,5,7,28
2009/2/12,3,24,31,32,61,85,0,5,9,12,14,26
2009/2/14,7,32,43,50,68,73,9,9,16,21,37,38
2009/2/17,17,20,63,78,82,85,0,0,5,10,21,26
2009/2/19,28,30,32,33,34,52,0,14,14,21,26,30
2009/2/21,6,39,40,41,50,54,0,0,4,10,10,12
2009/2/24,33,38,47,67,68,81,0,14,19,24,31,33
2009/2/26,10,19,25,35,51,73,0,9,16,22,24,30
2009/2/28,6,26,56,65,69,82,0,0,0,1,3,7
2009/3/3,20,39,42,45,74,77,0,0,0,0,2,10
2009/3/5,29,36,37,40,70,75,0,0,0,12,24,26
2009/3/7,4,14,45,53,77,84,0,0,2,4,4,21
2009/3/10,33,57,63,65,78,88,0,0,11,21,26,33
2009/3/12,2,10,19,36,78,90,7,7,14,22,25,28
2009/3/14,10,15,46,51,65,75,0,12,15,16,21,31
2009/3/17,3,38,44,50,53,70,3,10,12,14,22,28
2009/3/19,1,39,40,52,54,64,1,4,21,26,27,36
2009/3/21,4,39,43,59,74,90,0,1,9,16,20,28
2009/3/24,1,9,11,21,36,47,4,6,11,15,19,26
2009/3/26,13,21,70,71,72,85,0,1,6,6,21,28
2009/3/28,1,10,55,61,72,77,2,10,17,25,30,30
2009/3/31,2,4,16,20,29,53,2,16,18,24,26,28
2009/4/2,3,12,16,30,84,89,0,2,17,19,20,26
2009/4/4,2,3,4,27,34,42,6,21,24,27,30,32
2009/4/7,3,37,54,65,87,89,0,8,22,23,24,33
2009/4/9,2,23,36,62,75,79,0,7,11,15,15,35
2009/4/11,6,34,59,61,83,90,6,19,21,22,31,31
2009/4/14,2,5,20,43,64,83,0,7,9,16,22,33
2009/4/16,3,9,17,38,54,62,0,7,13,29,33,33
2009/4/18,20,46,48,62,71,86,7,9,11,15,24,35
2009/4/21,19,22,26,59,61,71,0,5,16,16,27,31
2009/4/23,24,29,40,71,74,78,3,4,5,20,29,36
2009/4/27,7,40,54,64,69,71,3,3,11,22,33,35
2009/4/28,11,12,32,55,72,87,9,16,21,26,27,33
2009/4/30,28,64,65,77,85,89,0,10,11,22,28,38
2009/5/2,2,25,31,38,45,84,7,21,23,29,29,34
2009/5/5,7,12,19,43,71,77,3,3,11,19,30,33
2009/5/7,31,43,67,69,76,80,3,12,14,21,26,32
2009/5/9,9,11,40,48,68,84,9,15,20,27,28,28
2009/5/12,4,9,22,23,47,73,4,21,23,28,29,40
2009/5/14,1,22,41,69,73,89,3,6,7,23,24,25
2009/5/16,39,50,55,57,78,82,6,12,18,27,27,31
2009/5/19,36,55,62,66,81,85,0,6,14,29,30,34
2009/5/21,11,14,17,24,39,48,5,7,20,23,33,33
2009/5/23,9,25,29,43,48,54,2,2,5,9,12,33
2009/5/26,6,33,35,64,66,77,3,4,5,7,24,24
2009/5/28,5,27,37,63,67,77,5,5,16,24,26,26
2009/5/30,1,13,17,31,58,62,3,7,13,17,23,35
2009/6/3,32,33,37,43,44,79,1,6,13,13,22,22
2009/6/4,7,57,60,67,69,90,2,10,14,19,24,31
2009/6/6,8,14,16,18,56,60,15,21,25,32,35,36
2009/6/9,14,17,39,47,58,85,1,9,13,17,19,26
2009/6/11,4,10,24,59,72,83,3,5,12,18,19,33
2009/6/13,8,19,25,73,76,84,1,7,27,28,32,36
2009/6/16,6,14,39,47,63,82,2,8,8,9,16,25
2009/6/18,15,27,31,52,74,77,10,17,18,25,26,31
2009/6/20,1,7,38,58,62,78,4,9,16,18,24,29
2009/6/23,2,3,37,38,58,59,8,8,17,19,24,27
2009/6/25,23,36,38,52,62,63,0,1,9,17,21,30
2009/6/27,29,56,66,77,88,89,1,6,20,26,32,33
2009/6/30,12,19,24,51,56,78,3,6,17,18,23,24
2009/7/2,12,13,38,46,47,72,6,18,19,26,28,36
2009/7/4,6,35,53,67,75,89,5,8,8,13,27,33
2009/7/7,41,44,55,56,68,79,4,8,10,15,17,30
2009/7/9,7,29,57,60,79,87,8,10,12,13,25,37
2009/7/11,8,21,32,33,60,69,8,14,14,16,21,25
2009/7/14,33,35,47,51,62,89,18,18,19,28,30,32
2009/7/16,6,35,38,48,58,76,11,14,20,24,25,30
2009/7/18,4,32,34,56,61,82,7,8,15,15,21,27
2009/7/21,27,32,40,49,75,82,10,14,18,21,22,27
2009/7/23,9,12,60,69,72,89,1,4,11,26,27,31
2009/7/25,7,35,36,41,45,88,14,19,20,23,28,29
2009/7/28,1,21,29,40,63,70,12,13,21,22,27,31
2009/7/30,2,68,77,81,83,84,5,6,16,20,27,29
2009/8/1,17,21,23,31,33,37,0,2,2,13,26,37
2009/8/4,4,8,51,72,74,88,6,19,23,24,32,33
2009/8/6,40,41,49,56,61,63,4,6,12,22,27,30
2009/8/8,24,51,58,61,74,77,1,6,7,8,23,28
2009/8/11,26,29,40,50,54,72,5,11,20,21,30,35
2009/8/13,11,29,56,63,88,90,1,4,7,14,21,29
2009/8/17,4,10,27,28,34,57,5,10,16,20,23,28
2009/8/18,2,19,43,49,77,82,4,11,18,19,24,25
2009/8/20,2,16,38,67,70,84,4,6,15,20,26,27
2009/8/22,10,11,27,45,79,88,13,15,17,22,30,33
2009/8/25,4,5,22,48,53,86,4,13,16,16,21,42
2009/8/27,15,20,36,69,74,87,0,2,5,6,11,14
2009/8/29,15,19,26,34,67,69,1,2,2,7,15,22
2009/9/1,12,14,19,38,41,45,8,9,25,27,27,32
2009/9/3,18,54,56,58,62,66,8,11,12,22,27,38
2009/9/5,15,31,39,49,64,85,6,11,14,14,25,31
2009/9/8,6,13,41,71,75,86,5,7,15,19,30,34
2009/9/10,17,39,41,47,77,83,3,5,7,11,26,30
2009/9/12,5,21,26,45,47,49,7,11,16,18,28,34
2009/9/15,26,60,61,72,85,88,8,19,24,29,37,38
2009/9/17,19,32,34,63,74,89,2,10,14,15,20,27
2009/9/19,4,8,20,21,44,80,5,13,13,18,25,38
2009/9/22,17,40,50,73,74,82,3,5,7,12,17,17
2009/9/24,5,9,25,30,76,81,2,7,8,17,22,30
2009/9/26,34,69,70,73,82,90,0,9,21,25,29,30
2009/9/29,10,22,24,45,67,76,12,21,24,24,27,35
2009/10/1,4,19,34,52,68,77,0,2,6,10,24,26
2009/10/3,28,38,59,60,71,83,2,14,21,21,28,30
2009/10/6,23,24,49,69,70,72,4,10,11,14,19,31
2009/10/8,1,12,17,65,70,90,4,6,9,12,14,33
2009/10/10,9,33,34,52,82,83,2,9,14,15,23,28
2009/10/13,5,11,40,43,56,82,5,14,24,26,26,29
2009/10/15,3,29,51,55,73,81,0,5,19,23,23,34
2009/10/17,8,24,45,47,72,84,1,2,7,11,14,25
2009/10/20,41,47,49,55,77,90,4,13,16,21,24,25
2009/10/22,29,33,34,64,65,87,5,13,14,20,21,28
2009/10/24,6,26,37,38,55,73,5,9,18,22,28,29
2009/10/27,38,43,44,45,63,77,12,19,21,21,28,30
2009/10/29,29,37,42,52,54,59,0,3,4,12,12,18
2009/10/31,13,16,41,49,58,76,5,7,13,22,23,24
2009/11/3,22,35,44,66,71,88,3,10,19,21,28,33
2009/11/5,12,20,28,57,74,85,1,2,13,18,24,26
2009/11/7,9,11,70,74,75,84,0,1,3,5,10,20
2009/11/10,24,32,56,59,76,81,6,14,24,24,31,33
2009/11/12,37,43,49,66,73,88,0,12,14,17,19,28
2009/11/14,15,27,31,40,63,82,11,19,20,23,23,24
2009/11/17,16,25,28,30,39,51,1,4,5,22,30,31
2009/11/19,1,35,42,55,57,62,2,2,10,20,21,22
2009/11/21,36,37,50,57,73,83,4,6,15,23,31,37
2009/11/24,19,47,69,71,86,87,8,11,16,16,17,27
2009/11/26,26,31,32,50,61,77,8,19,22,28,35,36
2009/11/28,3,42,52,67,78,86,2,4,7,11,15,25
2009/12/1,21,25,36,51,82,90,2,7,12,25,25,25
2009/12/3,19,30,34,49,54,74,7,7,7,13,25,29
2009/12/5,20,63,66,74,75,77,2,7,15,31,32,32
2009/12/9,9,30,50,57,62,70,6,8,10,13,22,33
2009/12/10,33,36,39,50,65,70,7,9,28,28,34,34
2009/12/12,10,16,40,55,66,77,1,9,10,13,14,29
2009/12/15,1,4,48,53,61,85,5,12,17,22,25,27
2009/12/17,1,23,32,53,66,83,0,7,12,14,14,27
2009/12/19,9,15,17,34,73,83,0,2,11,20,23,25
2009/12/22,6,13,17,52,64,82,3,4,19,26,28,34
2009/12/24,5,25,37,52,62,79,3,18,20,21,22,28
2009/12/28,34,36,61,62,78,88,4,11,20,22,25,27
2009/12/29,11,16,21,62,70,84,11,12,17,20,23,26
2009/12/31,40,41,45,51,52,79,4,17,24,25,29,32
2010/1/2,10,23,47,63,70,81,16,16,22,23,23,32
2010/1/5,44,48,49,68,86,87,1,4,5,9,21,26
2010/1/7,13,24,26,34,76,77,10,19,19,25,30,35
2010/1/9,1,30,32,45,69,83,2,2,4,4,23,27
2010/1/12,26,27,39,55,59,63,6,12,17,28,30,33
2010/1/14,4,24,47,66,74,77,9,17,22,26,28,35
2010/1/16,14,18,32,33,46,88,1,8,11,12,30,32
2010/1/19,5,18,55,59,65,74,4,7,16,19,24,27
2010/1/21,11,21,53,62,63,68,5,10,10,12,15,19
2010/1/23,2,23,24,70,81,90,0,2,12,18,27,37
2010/1/26,6,15,18,23,53,62,5,9,11,20,24,29
2010/1/28,21,23,25,27,36,84,1,6,7,12,17,22
2010/1/30,4,17,52,55,56,67,3,6,7,11,30,33
2010/2/2,8,26,32,40,62,88,15,25,25,27,28,32
2010/2/4,11,25,36,49,53,85,8,8,11,13,26,33
2010/2/6,24,40,43,51,53,88,1,14,16,29,29,35
2010/2/9,20,22,24,40,51,80,4,4,14,17,28,32
2010/2/11,4,19,32,58,73,87,2,4,6,8,23,39
2010/2/13,1,14,26,49,71,89,2,17,21,22,26,28
2010/2/16,46,48,63,68,83,85,4,6,14,23,29,31
2010/2/18,7,34,49,51,58,86,1,4,13,15,22,27
2010/2/20,19,26,63,67,68,83,1,8,11,20,33,35
2010/2/23,12,30,35,44,49,62,3,4,9,14,14,27
2010/2/25,1,64,67,68,79,90,12,13,14,17,19,25
2010/2/27,13,43,47,55,67,70,2,6,10,26,27,31
2010/3/2,4,5,18,35,40,90,2,3,10,11,16,17
2010/3/4,17,24,34,48,61,87,5,5,18,25,30,34
2010/3/6,16,21,30,35,57,78,1,8,15,20,21,24
2010/3/9,26,28,48,52,55,90,2,2,4,10,14,24
2010/3/11,7,8,25,46,65,78,5,9,16,29,29,30
2010/3/13,8,9,11,14,79,90,1,8,12,28,29,32
2010/3/16,6,15,21,27,49,85,14,17,20,28,31,31
2010/3/18,4,5,29,58,71,84,7,8,16,18,26,26
2010/3/20,4,18,26,47,61,80,0,7,14,20,21,25
2010/3/23,20,29,44,54,64,69,0,3,5,13,21,28
2010/3/25,6,50,67,69,77,88,0,7,19,27,30,32
2010/3/27,44,45,58,65,66,85,0,7,15,16,17,21
2010/3/30,8,30,64,69,80,88,4,5,10,12,17,35
2010/4/1,23,25,37,38,50,86,5,11,18,22,28,39
2010/4/3,2,16,19,47,49,57,1,4,14,19,22,29
2010/4/6,1,30,67,68,71,80,11,19,21,24,31,35
2010/4/8,7,29,36,50,56,75,5,8,27,29,30,37
2010/4/10,6,31,58,64,74,82,1,9,23,23,26,30
2010/4/13,33,42,46,55,69,90,7,12,13,25,26,36
2010/4/15,34,37,38,39,59,90,5,5,22,26,28,32
2010/4/17,30,54,66,67,76,90,3,8,11,14,22,30
2010/4/20,4,14,40,41,54,79,7,11,12,17,25,28
2010/4/22,6,25,29,44,68,74,5,5,7,21,26,33
2010/4/24,6,7,45,46,67,85,7,14,14,15,28,36
2010/4/27,4,26,28,59,61,68,10,14,16,17,18,27
2010/4/29,31,38,49,54,62,76,9,11,19,23,26,30
2010/5/3,19,33,45,55,82,84,2,21,23,24,27,32
2010/5/4,5,15,23,39,43,49,4,8,19,31,33,34
2010/5/6,2,4,25,34,61,66,8,13,13,22,25,27
2010/5/8,18,26,45,67,70,90,2,18,19,27,28,29
2010/5/11,13,28,39,45,68,81,0,15,21,24,28,39
2010/5/13,19,29,37,46,64,75,0,16,18,26,28,30
2010/5/15,22,32,34,70,78,90,4,6,22,25,26,28
2010/5/18,50,55,57,62,78,83,2,4,10,24,30,31
2010/5/20,19,38,48,54,71,84,3,7,8,9,15,19
2010/5/22,31,32,57,59,78,79,2,6,7,7,13,32
2010/5/25,6,34,43,60,71,73,8,8,19,22,32,38
2010/5/27,9,39,49,64,65,72,19,20,27,30,31,31
2010/5/29,22,68,75,83,85,89,1,3,10,14,18,31
2010/6/1,3,15,46,67,75,78,0,12,17,19,24,27
2010/6/3,30,38,46,47,62,67,2,12,13,21,23,29
2010/6/5,1,6,13,24,46,89,4,4,9,19,24,28
2010/6/8,24,33,54,69,79,86,2,15,24,31,33,33
2010/6/10,16,19,48,51,65,85,3,13,23,28,29,34
2010/6/12,16,27,43,46,62,85,1,2,5,11,15,21
2010/6/15,48,54,64,75,79,87,1,9,9,26,31,31
2010/6/17,20,46,50,52,69,86,6,16,16,17,24,34
2010/6/19,3,8,10,22,32,50,0,4,10,10,13,36
2010/6/22,9,19,54,73,83,90,9,10,13,16,27,30
2010/6/24,12,18,49,51,66,69,3,5,13,16,24,31
2010/6/26,9,28,33,38,50,55,0,2,15,16,17,17
2010/6/29,1,13,18,41,68,84,8,9,24,27,33,36
2010/7/1,1,14,38,77,80,89,0,2,5,8,20,30
2010/7/3,14,18,48,52,64,75,2,10,17,19,27,40
2010/7/6,9,34,57,72,84,88,6,15,27,27,31,35
2010/7/8,23,25,43,50,51,61,0,7,14,16,17,28
2010/7/10,10,25,34,79,85,86,9,10,12,15,24,31
2010/7/13,9,20,33,48,55,84,2,2,3,7,29,33
2010/7/15,4,5,11,15,20,46,7,7,9,17,17,28
2010/7/17,1,9,32,56,71,79,6,7,9,16,23,31
2010/7/20,19,33,45,50,54,86,5,6,8,12,25,26
2010/7/22,30,37,41,45,47,57,0,10,16,28,31,38
2010/7/24,37,47,51,54,78,82,2,4,16,30,32,33
2010/7/27,37,47,69,75,86,88,0,5,9,10,10,33
2010/7/29,6,7,11,19,34,49,13,15,28,29,31,32
2010/7/31,14,15,16,27,56,57,0,4,15,16,23,23
2010/8/3,8,38,48,66,70,86,7,12,17,19,22,24
2010/8/5,11,17,47,57,79,86,4,9,9,14,18,19
2010/8/7,1,7,19,65,67,74,2,2,18,24,29,30
2010/8/10,1,10,17,31,58,80,4,5,6,8,24,26
2010/8/12,2,40,47,54,66,83,3,14,21,21,31,33
2010/8/14,6,10,69,78,83,86,16,18,20,28,29,30
2010/8/17,4,19,52,67,82,90,3,10,16,20,28,28
2010/8/19,9,17,37,51,70,78,7,22,25,25,33,40
2010/8/21,14,59,64,75,80,83,2,17,21,23,28,36
2010/8/24,50,53,66,69,70,90,0,2,4,19,20,27
2010/8/26,13,28,36,45,59,65,6,14,18,24,26,33
2010/8/28,6,11,13,48,72,77,3,9,13,16,27,28
2010/8/31,10,21,35,40,63,79,1,5,11,12,13,23
2010/9/2,18,30,40,64,88,89,0,8,9,15,15,25
2010/9/4,13,54,56,67,82,90,5,12,12,25,26,35
2010/9/7,3,7,48,67,87,90,8,8,15,19,33,38
2010/9/9,8,26,32,44,82,86,12,17,17,17,18,30
2010/9/11,10,16,36,70,71,73,3,11,22,22,22,22
2010/9/14,6,29,54,62,72,80,0,4,5,8,13,33
2010/9/16,5,49,71,83,85,88,8,13,15,17,18,23
2010/9/18,4,23,24,35,77,79,2,7,24,28,30,30
2010/9/21,46,49,61,69,74,82,1,8,19,20,29,30
2010/9/23,25,32,64,74,85,90,10,13,20,24,25,29
2010/9/25,13,16,45,58,63,72,1,8,13,16,18,30
2010/9/28,18,20,46,54,57,65,8,14,18,20,27,41
2010/9/30,6,24,55,67,70,75,0,4,5,10,16,17
2010/10/2,9,16,31,43,49,83,0,1,8,9,19,21
2010/10/5,17,38,42,50,68,86,6,10,11,21,23,26
2010/10/7,19,22,49,65,70,87,4,5,7,9,23,29
2010/10/9,24,30,42,54,84,85,10,14,21,29,30,37
2010/10/12,18,23,31,38,47,51,11,12,12,20,30,31
2010/10/14,9,15,19,38,48,77,1,2,20,23,30,31
2010/10/16,16,31,41,61,65,77,0,7,8,22,22,35
2010/10/19,31,49,54,57,80,88,2,4,7,12,17,18
2010/10/21,3,13,33,42,56,85,2,5,6,22,28,40
2010/10/23,12,26,46,69,72,87,0,20,26,26,29,33
2010/10/26,30,32,49,53,72,84,3,3,14,15,24,39
2010/10/28,16,29,32,53,61,72,5,16,17,20,34,41
2010/10/30,4,26,40,54,55,67,0,4,15,18,33,36
2010/11/2,31,39,53,56,68,90,3,7,16,18,25,31
2010/11/4,1,10,47,50,52,74,2,4,10,12,19,21
2010/11/6,13,35,41,44,59,79,0,15,18,21,22,36
2010/11/9,23,37,41,51,62,74,1,2,5,24,24,40
2010/11/11,28,49,50,54,66,68,9,13,16,17,27,30
2010/11/13,2,34,45,47,54,74,0,0,0,9,21,28
2010/11/16,26,38,40,66,76,81,0,3,8,14,16,18
2010/11/18,23,32,33,47,63,81,2,7,7,10,21,26
2010/11/20,5,7,46,65,73,82,0,1,11,21,24,29
2010/11/23,46,54,65,70,82,85,10,13,14,24,24,27
2010/11/25,5,14,48,52,57,90,3,5,13,21,23,32
2010/11/27,21,38,41,43,52,77,4,8,14,23,25,30
2010/11/30,19,20,32,64,87,89,7,12,15,17,19,24
2010/12/2,10,35,39,57,61,75,9,14,19,20,22,32
2010/12/4,16,20,36,39,42,51,1,11,12,24,24,30
2010/12/7,27,31,45,61,74,79,14,15,19,24,24,31
2010/12/9,12,32,54,60,89,90,2,4,21,26,26,28
2010/12/11,3,17,35,52,69,83,3,7,7,7,8,23
2010/12/14,3,17,48,76,77,90,0,7,10,10,18,21
2010/12/16,9,15,27,54,76,86,1,1,2,2,14,30
2010/12/18,30,38,52,63,74,89,3,4,15,27,30,30
2010/12/21,8,9,19,48,51,81,0,3,3,5,13,25
2010/12/23,5,12,16,44,71,75,5,18,20,30,30,33
2010/12/27,4,39,62,67,69,78,14,15,19,22,23,24
2010/12/28,1,4,21,56,69,75,3,5,8,20,21,23
2010/12/30,5,29,35,39,41,45,1,7,7,8,16,17
2011/1/3,4,7,12,20,74,89,6,12,13,29,29,34
2011/1/4,1,12,21,31,39,49,1,7,12,22,28,30
2011/1/7,14,25,44,54,78,89,1,8,16,20,23,30
2011/1/8,26,68,73,75,76,86,5,10,10,14,25,31
2011/1/11,12,13,31,69,71,77,1,4,11,14,19,34
2011/1/13,15,17,34,59,83,86,5,8,10,27,29,33
2011/1/15,5,8,37,77,79,90,1,6,17,21,23,28
2011/1/18,10,50,55,61,87,90,3,5,7,9,30,31
2011/1/20,4,23,35,54,72,88,4,6,17,28,29,35
2011/1/22,6,8,15,52,67,86,6,10,16,19,19,35
2011/1/25,3,12,13,15,43,46,9,10,15,16,18,19
2011/1/27,1,11,27,45,49,61,0,3,6,9,13,24
2011/1/29,11,35,58,64,68,72,0,4,11,26,31,37
2011/2/1,22,30,43,62,70,71,1,17,21,26,32,32
2011/2/3,20,25,37,45,49,63,0,2,13,20,20,25
2011/2/5,25,32,43,52,65,78,2,24,26,27,30,30
2011/2/8,10,11,20,41,55,83,2,7,13,20,21,28
2011/2/10,1,47,54,81,84,89,5,14,16,16,17,25
2011/2/12,1,3,19,23,61,78,4,9,16,19,27,28
2011/2/15,25,40,63,78,82,85,5,6,7,15,25,33
2011/2/17,10,17,18,25,45,84,1,3,5,7,11,12
2011/2/19,27,44,48,57,77,83,13,19,24,27,28,29
2011/2/22,2,3,38,42,56,74,8,18,30,31,32,38
2011/2/24,2,25,50,63,76,85,0,14,24,34,34,40
2011/2/26,16,18,20,26,32,35,8,14,15,20,25,32
2011/3/1,9,32,42,55,71,90,9,9,17,18,22,25
2011/3/3,12,41,64,75,82,84,2,4,16,22,26,30
2011/3/5,3,12,38,50,54,55,7,8,13,16,18,19
2011/3/8,22,28,32,57,58,85,2,5,8,21,24,33
2011/3/10,7,14,21,47,58,71,4,14,22,27,31,32
2011/3/12,22,26,42,44,58,83,2,6,6,22,25,36
2011/3/15,6,25,62,80,85,86,1,2,7,7,12,25
2011/3/18,6,16,35,52,53,69,0,5,10,12,18,28
2011/3/19,10,21,43,47,58,85,2,3,13,16,23,31
2011/3/22,2,32,49,52,54,80,1,7,14,16,16,21
2011/3/24,7,13,19,65,86,88,5,11,16,22,36,36
2011/3/26,37,38,56,62,70,83,2,3,9,13,16,30
2011/3/29,2,11,37,45,48,66,2,6,12,19,24,28
2011/3/31,3,25,43,55,72,80,7,14,15,17,23,33
2011/4/2,8,14,20,36,45,85,16,17,20,25,27,30
2011/4/5,5,30,31,55,57,70,0,12,15,19,23,26
2011/4/7,21,22,46,56,63,66,2,9,14,16,22,28
2011/4/9,12,13,17,38,74,87,10,12,17,18,21,23
2011/4/12,29,37,50,62,70,86,2,3,5,19,20,30
2011/4/14,24,26,43,71,79,80,1,14,19,26,28,28
2011/4/16,9,17,29,37,49,68,6,10,12,23,24,28
