Day,Month,Year,Number 2
2,1,2009,19
3,1,2009,24
7,1,2009,31
8,1,2009,23
10,1,2009,15
13,1,2009,14
15,1,2009,15
17,1,2009,17
20,1,2009,35
22,1,2009,2
24,1,2009,4
27,1,2009,31
29,1,2009,32
31,1,2009,3
3,2,2009,13
5,2,2009,18
7,2,2009,23
10,2,2009,18
12,2,2009,24
14,2,2009,32
17,2,2009,20
19,2,2009,30
21,2,2009,39
24,2,2009,38
26,2,2009,19
28,2,2009,26
3,3,2009,39
5,3,2009,36
7,3,2009,14
10,3,2009,57
12,3,2009,10
14,3,2009,15
17,3,2009,38
19,3,2009,39
21,3,2009,39
24,3,2009,9
26,3,2009,21
28,3,2009,10
31,3,2009,4
2,4,2009,12
4,4,2009,3
7,4,2009,37
9,4,2009,23
11,4,2009,34
14,4,2009,5
16,4,2009,9
18,4,2009,46
21,4,2009,22
23,4,2009,29
27,4,2009,40
28,4,2009,12
30,4,2009,64
2,5,2009,25
5,5,2009,12
7,5,2009,43
9,5,2009,11
12,5,2009,9
14,5,2009,22
16,5,2009,50
19,5,2009,55
21,5,2009,14
23,5,2009,25
26,5,2009,33
28,5,2009,27
30,5,2009,13
3,6,2009,33
4,6,2009,57
6,6,2009,14
9,6,2009,17
11,6,2009,10
13,6,2009,19
16,6,2009,14
18,6,2009,27
20,6,2009,7
23,6,2009,3
25,6,2009,36
27,6,2009,56
30,6,2009,19
2,7,2009,13
4,7,2009,35
7,7,2009,44
9,7,2009,29
11,7,2009,21
14,7,2009,35
16,7,2009,35
18,7,2009,32
21,7,2009,32
23,7,2009,12
25,7,2009,35
28,7,2009,21
30,7,2009,68
1,8,2009,21
4,8,2009,8
6,8,2009,41
8,8,2009,51
11,8,2009,29
13,8,2009,29
17,8,2009,10
18,8,2009,19
20,8,2009,16
22,8,2009,11
25,8,2009,5
27,8,2009,20
29,8,2009,19
1,9,2009,14
3,9,2009,54
5,9,2009,31
8,9,2009,13
10,9,2009,39
12,9,2009,21
15,9,2009,60
17,9,2009,32
19,9,2009,8
22,9,2009,40
24,9,2009,9
26,9,2009,69
29,9,2009,22
1,10,2009,19
3,10,2009,38
6,10,2009,24
8,10,2009,12
10,10,2009,33
13,10,2009,11
15,10,2009,29
17,10,2009,24
20,10,2009,47
22,10,2009,33
24,10,2009,26
27,10,2009,43
29,10,2009,37
31,10,2009,16
3,11,2009,35
5,11,2009,20
7,11,2009,11
10,11,2009,32
12,11,2009,43
14,11,2009,27
17,11,2009,25
19,11,2009,35
21,11,2009,37
24,11,2009,47
26,11,2009,31
28,11,2009,42
1,12,2009,25
3,12,2009,30
5,12,2009,63
9,12,2009,30
10,12,2009,36
12,12,2009,16
15,12,2009,4
17,12,2009,23
19,12,2009,15
22,12,2009,13
24,12,2009,25
28,12,2009,36
29,12,2009,16
31,12,2009,41
2,1,2010,23
5,1,2010,48
7,1,2010,24
9,1,2010,30
12,1,2010,27
14,1,2010,24
16,1,2010,18
19,1,2010,18
21,1,2010,21
23,1,2010,23
26,1,2010,15
28,1,2010,23
30,1,2010,17
2,2,2010,26
4,2,2010,25
6,2,2010,40
9,2,2010,22
11,2,2010,19
13,2,2010,14
16,2,2010,48
18,2,2010,34
20,2,2010,26
23,2,2010,30
25,2,2010,64
27,2,2010,43
2,3,2010,5
4,3,2010,24
6,3,2010,21
9,3,2010,28
11,3,2010,8
13,3,2010,9
16,3,2010,15
18,3,2010,5
20,3,2010,18
23,3,2010,29
25,3,2010,50
27,3,2010,45
30,3,2010,30
1,4,2010,25
3,4,2010,16
6,4,2010,30
8,4,2010,29
10,4,2010,31
13,4,2010,42
15,4,2010,37
17,4,2010,54
20,4,2010,14
22,4,2010,25
24,4,2010,7
27,4,2010,26
29,4,2010,38
3,5,2010,33
4,5,2010,15
6,5,2010,4
8,5,2010,26
11,5,2010,28
13,5,2010,29
15,5,2010,32
18,5,2010,55
20,5,2010,38
22,5,2010,32
25,5,2010,34
27,5,2010,39
29,5,2010,68
1,6,2010,15
3,6,2010,38
5,6,2010,6
8,6,2010,33
10,6,2010,19
12,6,2010,27
15,6,2010,54
17,6,2010,46
19,6,2010,8
22,6,2010,19
24,6,2010,18
26,6,2010,28
29,6,2010,13
1,7,2010,14
3,7,2010,18
6,7,2010,34
8,7,2010,25
10,7,2010,25
13,7,2010,20
15,7,2010,5
17,7,2010,9
20,7,2010,33
22,7,2010,37
24,7,2010,47
27,7,2010,47
29,7,2010,7
31,7,2010,15
3,8,2010,38
5,8,2010,17
7,8,2010,7
10,8,2010,10
12,8,2010,40
14,8,2010,10
17,8,2010,19
19,8,2010,17
21,8,2010,59
24,8,2010,53
26,8,2010,28
28,8,2010,11
31,8,2010,21
2,9,2010,30
4,9,2010,54
7,9,2010,7
9,9,2010,26
11,9,2010,16
14,9,2010,29
16,9,2010,49
18,9,2010,23
21,9,2010,49
23,9,2010,32
25,9,2010,16
28,9,2010,20
30,9,2010,24
2,10,2010,16
5,10,2010,38
7,10,2010,22
9,10,2010,30
12,10,2010,23
14,10,2010,15
16,10,2010,31
19,10,2010,49
21,10,2010,13
23,10,2010,26
26,10,2010,32
28,10,2010,29
30,10,2010,26
2,11,2010,39
4,11,2010,10
6,11,2010,35
9,11,2010,37
11,11,2010,49
13,11,2010,34
16,11,2010,38
18,11,2010,32
20,11,2010,7
23,11,2010,54
25,11,2010,14
27,11,2010,38
30,11,2010,20
2,12,2010,35
4,12,2010,20
7,12,2010,31
9,12,2010,32
11,12,2010,17
14,12,2010,17
16,12,2010,15
18,12,2010,38
21,12,2010,9
23,12,2010,12
27,12,2010,39
28,12,2010,4
30,12,2010,29
3,1,2011,7
4,1,2011,12
7,1,2011,25
8,1,2011,68
11,1,2011,13
13,1,2011,17
15,1,2011,8
18,1,2011,50
20,1,2011,23
22,1,2011,8
25,1,2011,12
27,1,2011,11
29,1,2011,35
1,2,2011,30
3,2,2011,25
5,2,2011,32
8,2,2011,11
10,2,2011,47
12,2,2011,3
15,2,2011,40
17,2,2011,17
19,2,2011,44
22,2,2011,3
24,2,2011,25
26,2,2011,18
1,3,2011,32
3,3,2011,41
5,3,2011,12
8,3,2011,28
10,3,2011,14
12,3,2011,26
15,3,2011,25
18,3,2011,16
19,3,2011,21
22,3,2011,32
24,3,2011,13
26,3,2011,38
29,3,2011,11
31,3,2011,25
2,4,2011,14
5,4,2011,30
7,4,2011,22
9,4,2011,13
12,4,2011,37
14,4,2011,26
16,4,2011,17
19,4,2011,12
21,4,2011,14
23,4,2011,34
26,4,2011,32
28,4,2011,42
30,4,2011,29
3,5,2011,40
5,5,2011,31
7,5,2011,4
10,5,2011,35
12,5,2011,3
14,5,2011,21
17,5,2011,41
19,5,2011,24
21,5,2011,12
24,5,2011,72
26,5,2011,24
28,5,2011,16
31,5,2011,10
3,6,2011,16
4,6,2011,44
7,6,2011,20
9,6,2011,17
11,6,2011,29
14,6,2011,44
16,6,2011,48
18,6,2011,22
21,6,2011,41
23,6,2011,27
25,6,2011,17
28,6,2011,6
30,6,2011,20
2,7,2011,9
5,7,2011,6
7,7,2011,2
9,7,2011,22
12,7,2011,27
14,7,2011,35
16,7,2011,20
19,7,2011,43
21,7,2011,13
23,7,2011,42
26,7,2011,38
28,7,2011,23
30,7,2011,33
2,8,2011,5
4,8,2011,10
6,8,2011,21
9,8,2011,41
11,8,2011,17
13,8,2011,31
16,8,2011,6
18,8,2011,23
20,8,2011,26
23,8,2011,34
25,8,2011,38
27,8,2011,43
30,8,2011,23
1,9,2011,12
3,9,2011,5
6,9,2011,15
8,9,2011,45
10,9,2011,8
13,9,2011,64
15,9,2011,19
17,9,2011,45
20,9,2011,23
22,9,2011,6
24,9,2011,23
27,9,2011,28
29,9,2011,26
1,10,2011,5
4,10,2011,8
6,10,2011,8
8,10,2011,26
11,10,2011,36
13,10,2011,19
15,10,2011,40
18,10,2011,19
20,10,2011,11
22,10,2011,15
25,10,2011,21
27,10,2011,41
29,10,2011,16
2,11,2011,14
3,11,2011,55
5,11,2011,44
8,11,2011,52
10,11,2011,13
12,11,2011,32
15,11,2011,21
17,11,2011,25
19,11,2011,24
22,11,2011,16
24,11,2011,33
26,11,2011,29
29,11,2011,24
1,12,2011,10
3,12,2011,13
6,12,2011,4
9,12,2011,49
10,12,2011,31
13,12,2011,26
15,12,2011,37
17,12,2011,28
20,12,2011,28
22,12,2011,37
24,12,2011,41
27,12,2011,9
29,12,2011,20
31,12,2011,3
3,1,2012,47
5,1,2012,11
7,1,2012,15
10,1,2012,22
12,1,2012,49
14,1,2012,12
17,1,2012,27
19,1,2012,41
21,1,2012,19
24,1,2012,32
26,1,2012,16
28,1,2012,17
31,1,2012,23
2,2,2012,37
4,2,2012,17
7,2,2012,30
9,2,2012,51
11,2,2012,30
14,2,2012,25
16,2,2012,21
18,2,2012,21
21,2,2012,29
23,2,2012,28
25,2,2012,30
28,2,2012,34
1,3,2012,14
3,3,2012,19
6,3,2012,42
8,3,2012,37
10,3,2012,8
13,3,2012,17
15,3,2012,13
17,3,2012,23
20,3,2012,39
22,3,2012,21
24,3,2012,45
27,3,2012,26
29,3,2012,45
31,3,2012,23
3,4,2012,34
5,4,2012,37
7,4,2012,46
10,4,2012,22
12,4,2012,25
14,4,2012,22
17,4,2012,28
19,4,2012,26
21,4,2012,11
24,4,2012,28
26,4,2012,61
28,4,2012,11
2,5,2012,22
3,5,2012,16
5,5,2012,14
8,5,2012,19
10,5,2012,16
12,5,2012,45
15,5,2012,38
17,5,2012,38
19,5,2012,23
22,5,2012,6
24,5,2012,29
26,5,2012,33
29,5,2012,39
31,5,2012,25
4,6,2012,16
5,6,2012,29
7,6,2012,58
9,6,2012,34
12,6,2012,30
14,6,2012,13
16,6,2012,9
19,6,2012,62
21,6,2012,24
23,6,2012,6
26,6,2012,30
28,6,2012,20
30,6,2012,20
3,7,2012,12
5,7,2012,59
7,7,2012,25
10,7,2012,32
12,7,2012,42
14,7,2012,38
17,7,2012,28
19,7,2012,36
21,7,2012,24
24,7,2012,45
26,7,2012,18
28,7,2012,17
31,7,2012,82
2,8,2012,8
4,8,2012,35
7,8,2012,50
9,8,2012,30
11,8,2012,11
14,8,2012,22
16,8,2012,39
18,8,2012,5
21,8,2012,42
23,8,2012,27
25,8,2012,38
28,8,2012,27
30,8,2012,20
1,9,2012,20
4,9,2012,42
6,9,2012,29
8,9,2012,13
11,9,2012,33
13,9,2012,26
15,9,2012,23
18,9,2012,10
20,9,2012,17
22,9,2012,28
25,9,2012,23
27,9,2012,8
29,9,2012,7
2,10,2012,52
4,10,2012,25
6,10,2012,40
9,10,2012,9
11,10,2012,34
13,10,2012,17
16,10,2012,20
18,10,2012,41
20,10,2012,5
23,10,2012,50
25,10,2012,23
27,10,2012,33
30,10,2012,32
3,11,2012,4
5,11,2012,14
6,11,2012,20
8,11,2012,31
10,11,2012,34
13,11,2012,20
15,11,2012,24
17,11,2012,10
20,11,2012,11
22,11,2012,25
24,11,2012,26
27,11,2012,13
29,11,2012,13
1,12,2012,20
4,12,2012,33
6,12,2012,18
10,12,2012,28
11,12,2012,8
13,12,2012,25
15,12,2012,26
18,12,2012,56
20,12,2012,19
22,12,2012,50
24,12,2012,22
27,12,2012,52
29,12,2012,39
2,1,2013,11
3,1,2013,14
5,1,2013,11
8,1,2013,32
10,1,2013,16
12,1,2013,12
15,1,2013,24
17,1,2013,34
19,1,2013,6
22,1,2013,51
24,1,2013,17
26,1,2013,12
29,1,2013,12
31,1,2013,42
2,2,2013,18
5,2,2013,13
7,2,2013,5
9,2,2013,11
12,2,2013,21
14,2,2013,32
16,2,2013,32
19,2,2013,34
21,2,2013,16
23,2,2013,11
26,2,2013,25
28,2,2013,24
2,3,2013,49
5,3,2013,34
7,3,2013,32
9,3,2013,22
12,3,2013,10
14,3,2013,35
16,3,2013,41
19,3,2013,39
21,3,2013,27
23,3,2013,42
26,3,2013,37
28,3,2013,27
30,3,2013,42
2,4,2013,12
4,4,2013,4
6,4,2013,8
9,4,2013,44
11,4,2013,47
13,4,2013,33
16,4,2013,30
18,4,2013,30
20,4,2013,33
23,4,2013,13
27,4,2013,2
29,4,2013,6
30,4,2013,35
2,5,2013,32
4,5,2013,31
7,5,2013,37
9,5,2013,16
11,5,2013,42
14,5,2013,41
16,5,2013,16
18,5,2013,20
21,5,2013,32
23,5,2013,22
25,5,2013,27
28,5,2013,35
30,5,2013,43
1,6,2013,21
4,6,2013,27
6,6,2013,36
8,6,2013,10
11,6,2013,21
13,6,2013,5
15,6,2013,19
18,6,2013,24
20,6,2013,24
22,6,2013,19
25,6,2013,16
27,6,2013,22
29,6,2013,22
2,7,2013,4
4,7,2013,41
6,7,2013,9
9,7,2013,36
11,7,2013,15
13,7,2013,49
16,7,2013,29
18,7,2013,19
20,7,2013,16
23,7,2013,14
25,7,2013,38
27,7,2013,19
30,7,2013,47
1,8,2013,21
3,8,2013,16
6,8,2013,16
8,8,2013,14
10,8,2013,33
13,8,2013,33
17,8,2013,21
19,8,2013,5
20,8,2013,11
22,8,2013,21
24,8,2013,2
27,8,2013,44
29,8,2013,54
31,8,2013,20
3,9,2013,7
5,9,2013,23
7,9,2013,55
10,9,2013,44
12,9,2013,44
14,9,2013,35
17,9,2013,21
19,9,2013,21
21,9,2013,61
24,9,2013,27
26,9,2013,38
28,9,2013,57
1,10,2013,21
3,10,2013,14
5,10,2013,5
8,10,2013,31
10,10,2013,7
12,10,2013,19
15,10,2013,36
17,10,2013,18
19,10,2013,30
22,10,2013,5
24,10,2013,3
26,10,2013,48
29,10,2013,23
31,10,2013,18
2,11,2013,12
5,11,2013,9
7,11,2013,19
9,11,2013,22
12,11,2013,26
14,11,2013,45
16,11,2013,36
19,11,2013,15
21,11,2013,37
23,11,2013,10
26,11,2013,25
28,11,2013,51
30,11,2013,11
3,12,2013,40
5,12,2013,34
7,12,2013,16
10,12,2013,16
12,12,2013,19
14,12,2013,33
17,12,2013,22
19,12,2013,23
21,12,2013,14
23,12,2013,43
24,12,2013,39
28,12,2013,52
31,12,2013,60
2,1,2014,55
4,1,2014,26
7,1,2014,47
9,1,2014,17
11,1,2014,37
14,1,2014,7
16,1,2014,18
18,1,2014,18
21,1,2014,23
23,1,2014,6
25,1,2014,34
28,1,2014,17
30,1,2014,21
1,2,2014,6
4,2,2014,12
6,2,2014,12
8,2,2014,16
11,2,2014,27
13,2,2014,11
15,2,2014,31
18,2,2014,36
20,2,2014,26
22,2,2014,19
25,2,2014,51
27,2,2014,32
1,3,2014,8
4,3,2014,46
6,3,2014,61
8,3,2014,45
11,3,2014,51
13,3,2014,28
15,3,2014,5
18,3,2014,39
20,3,2014,18
22,3,2014,22
25,3,2014,36
27,3,2014,12
29,3,2014,21
1,4,2014,56
3,4,2014,47
5,4,2014,31
8,4,2014,61
10,4,2014,25
12,4,2014,29
15,4,2014,26
17,4,2014,20
19,4,2014,45
22,4,2014,16
24,4,2014,7
26,4,2014,9
29,4,2014,33
3,5,2014,33
5,5,2014,44
6,5,2014,3
8,5,2014,9
10,5,2014,39
13,5,2014,5
15,5,2014,47
17,5,2014,31
20,5,2014,17
22,5,2014,23
24,5,2014,22
27,5,2014,37
29,5,2014,32
31,5,2014,6
3,6,2014,25
5,6,2014,31
7,6,2014,18
10,6,2014,29
12,6,2014,18
14,6,2014,31
17,6,2014,29
19,6,2014,19
21,6,2014,61
24,6,2014,22
26,6,2014,43
28,6,2014,20
1,7,2014,35
3,7,2014,13
5,7,2014,31
8,7,2014,8
10,7,2014,11
12,7,2014,20
15,7,2014,15
17,7,2014,11
19,7,2014,48
22,7,2014,32
24,7,2014,12
26,7,2014,10
29,7,2014,45
31,7,2014,19
2,8,2014,38
5,8,2014,19
7,8,2014,29
9,8,2014,10
12,8,2014,24
14,8,2014,12
16,8,2014,63
19,8,2014,30
21,8,2014,31
23,8,2014,45
26,8,2014,20
28,8,2014,39
30,8,2014,38
2,9,2014,20
4,9,2014,39
6,9,2014,33
9,9,2014,20
11,9,2014,14
13,9,2014,20
16,9,2014,15
18,9,2014,19
20,9,2014,36
23,9,2014,25
25,9,2014,45
27,9,2014,9
30,9,2014,33
2,10,2014,9
4,10,2014,6
7,10,2014,15
9,10,2014,20
11,10,2014,11
14,10,2014,21
16,10,2014,9
18,10,2014,40
21,10,2014,34
23,10,2014,21
25,10,2014,28
28,10,2014,30
30,10,2014,39
3,11,2014,9
4,11,2014,18
6,11,2014,58
8,11,2014,33
11,11,2014,27
13,11,2014,38
15,11,2014,42
18,11,2014,58
20,11,2014,45
22,11,2014,25
25,11,2014,36
27,11,2014,18
29,11,2014,14
2,12,2014,25
4,12,2014,52
6,12,2014,11
9,12,2014,23
11,12,2014,22
13,12,2014,13
16,12,2014,35
18,12,2014,28
20,12,2014,13
23,12,2014,22
24,12,2014,46
27,12,2014,25
30,12,2014,24
3,1,2015,26
5,1,2015,37
7,1,2015,16
8,1,2015,9
10,1,2015,13
13,1,2015,10
15,1,2015,5
17,1,2015,22
20,1,2015,11
22,1,2015,12
24,1,2015,23
27,1,2015,10
29,1,2015,29
31,1,2015,44
3,2,2015,29
5,2,2015,8
7,2,2015,27
10,2,2015,59
12,2,2015,32
14,2,2015,31
17,2,2015,27
19,2,2015,35
21,2,2015,16
24,2,2015,29
26,2,2015,41
28,2,2015,10
3,3,2015,26
5,3,2015,44
7,3,2015,36
10,3,2015,19
12,3,2015,36
14,3,2015,30
17,3,2015,13
19,3,2015,7
21,3,2015,7
24,3,2015,17
26,3,2015,21
28,3,2015,22
31,3,2015,15
2,4,2015,36
4,4,2015,38
7,4,2015,18
9,4,2015,25
11,4,2015,54
14,4,2015,45
16,4,2015,38
18,4,2015,11
21,4,2015,17
23,4,2015,13
27,4,2015,26
28,4,2015,41
30,4,2015,28
2,5,2015,34
5,5,2015,31
7,5,2015,32
9,5,2015,40
12,5,2015,19
14,5,2015,25
16,5,2015,32
19,5,2015,20
21,5,2015,21
23,5,2015,24
26,5,2015,9
28,5,2015,33
30,5,2015,33
3,6,2015,28
4,6,2015,17
6,6,2015,24
9,6,2015,21
11,6,2015,48
13,6,2015,35
16,6,2015,28
18,6,2015,21
20,6,2015,11
23,6,2015,24
25,6,2015,46
27,6,2015,22
30,6,2015,11
2,7,2015,17
4,7,2015,30
7,7,2015,25
9,7,2015,54
11,7,2015,30
14,7,2015,17
16,7,2015,27
18,7,2015,42
21,7,2015,21
23,7,2015,41
25,7,2015,20
28,7,2015,26
30,7,2015,18
1,8,2015,26
4,8,2015,53
6,8,2015,27
8,8,2015,7
11,8,2015,25
13,8,2015,17
17,8,2015,4
18,8,2015,30
20,8,2015,14
22,8,2015,7
25,8,2015,18
27,8,2015,4
29,8,2015,28
1,9,2015,30
3,9,2015,18
5,9,2015,30
8,9,2015,50
10,9,2015,14
12,9,2015,24
15,9,2015,17
17,9,2015,9
19,9,2015,32
22,9,2015,26
24,9,2015,32
26,9,2015,37
29,9,2015,25
1,10,2015,17
3,10,2015,4
6,10,2015,11
8,10,2015,32
10,10,2015,41
13,10,2015,36
15,10,2015,9
17,10,2015,6
20,10,2015,34
22,10,2015,6
24,10,2015,14
27,10,2015,15
29,10,2015,16
31,10,2015,25
3,11,2015,41
5,11,2015,21
7,11,2015,19
10,11,2015,31
12,11,2015,22
